language,biased,neutral_primary,neutral_alternatives,tags,pos,scope,register,severity,bias_label,stereotype_category,explicitness,ngeli,number,requires_agreement,agreement_notes,patterns,constraints,avoid_when,example_biased,example_neutral,context_pattern
ha,budurwa,yarinya,,gender|family_role,noun,general,general,replace,stereotype,family_role,explicit,,,,,,,ha_neutral_budurwa,COM ya samo cewa yan fashin sun bukaci budurwa ta basu kudi,COM ya samo cewa yan fashin sun bukaci yarinya ta basu kudi,
ha,budurwar,yarinyar,,gender|family_role,noun,general,general,replace,stereotype,family_role,explicit,,,,,,,ha_neutral_budurwa,sun bukaci budurwar ta basu kudi daga wajen sana'arta,sun bukaci yarinyar ta basu kudi daga wajen sana'arta,
ha,wata budurwa,wata yarinya,,gender|family_role,phrase,general,general,warn,derogation,family_role,explicit,,,,,,,Often neutral crime/victim reporting; warn only — no auto-rewrite.,Rundunar 'yan sanda ta yayyanki wata budurwa a fuska,Rundunar 'yan sanda ta yayyanki wata yarinya a fuska,
ha,amarya,matar aure,,gender|family_role,noun,general,general,warn,stereotype,family_role,explicit,,,,,,,Often neutral wedding/ceremony reporting; warn only — no auto-rewrite.,an shirya bikin amarya a ranar juma'a,an shirya bikin matar aure a ranar juma'a,
ha,uwargida,mai kula da gida,,gender|family_role,noun,domestic,general,replace,stereotype,family_role,explicit,,,,,,,Biographical or self-identification; do not erase chosen role labels.,Uwargida ce kawai ta dace da kula da gidajen,Mai kula da gida ne ya dace da kula da gidajen,
ha,mace mai juna biyu,mai juna biyu,,gender|health,phrase,healthcare,formal,replace,stereotype,religion_culture,explicit,,,,,,,,an haramtawa mace mai juna biyu aikin hajji,an haramtawa mai juna biyu aikin hajji,
ha,mace mai nagarta,mutum mai nagarta,,gender|virtue,phrase,general,general,replace,stereotype,religion_culture,implicit,,,,,,,,"Ta kasance mace mai nagarta, kunya, kawaici","Ta kasance mutum mai nagarta, kunya, kawaici",
ha,cin zarafin mata,cin zarafi,,gender|violence,phrase,general,general,warn,derogation,capability,explicit,,,,,,,Statistical or legal reporting where sex-disaggregation is required.,an tuhumi shi kan zargin cin zarafin mata,an tuhumi shi kan zargin cin zarafi,
ha,'yan matan Chibok,matan da aka sace,,gender|violence,phrase,general,formal,warn,derogation,daily_life,explicit,,,,,,,,labarin sace 'yan matan Chibok,labarin sace matan da aka sace,
ha,sace 'yan matan,sace matan,,gender|violence,phrase,general,formal,warn,derogation,daily_life,explicit,,,,,,,,irin zargin sace 'yan matan,irin zargin sace matan,
