biased_term,neutral_primary,tags,stereotype_category,explicitness,severity,confidence,reason,source_sentence
mhudumu huyo wa kike,mhudumu huyo,gender|occupation,profession,explicit,warn,medium,"Specification of 'female' for a service worker's role suggests gender is noteworthy or surprising for this occupation, marking gendered occupational boundaries.",Mhudumu huyo wa kike (jina tumelihifadhi) alisema kuwa huwa wanaletewa risiti za EFD zilizotoka kwenye vituo vya mafuta na kulipia moja Sh 500 na kwamba wamekuwa wakiwapa wateja wao pale wanapodai ris
amevunja ndoa ya wanafunzi wawili,ameingilia katika mipango ya wanafunzi wawili,gender|family_role,family_role,implicit,warn,medium,An authority figure breaking up a student engagement based on pregnancy prevention during exams; frames female sexuality as a problem to be controlled by male authority.,"MKUU wa Wilaya ya Kaskazini B Unguja, Rajab Ali Rajab amevunja ndoa ya wanafunzi wawili wa kidato cha pili, ambao walikuwa wapo katika hatua za mwisho za kuoana.Rajab alithibitisha kuvunjwa kwa ndoa h"
wanafunzi wa kike wanne,wanafunzi wanne,gender|violence,violence,explicit,warn,high,"Reports sexual assault of female students ('being raped on the road') with gendering that suggests this is a female-specific vulnerability, requiring victim-centered framing.","WANAFUNZI wa kike wanne kutoka vijiji vya Kata ya Matuli, Halmashauri ya Wilaya ya Morogoro walikuwa wakisafi ri umbali wa kilometa 40 kwenda kupata masomo ya sekondari shule ya Ngerengere wameachishw"
baadhi ya wanawake (dada poa),baadhi ya watu,gender|sexuality,sexuality,explicit,warn,high,"Frames sex work as a women-specific moral problem ('sisters who sell bodies') linked to family decay, using demeaning language that stigmatizes women while framing male-dominated industries (like ushoga) differently.","VIONGOZI wa dini wameagizwa kushirikiana na serikali, kukemea vitendo viovu vya ushoga na biashara ya kuuza miili, inayofanywa na baadhi ya wanawake (dada poa) kwani vinachangia mmomonyoko wa maadili "
marafiki wa kiume,marafiki,gender|stereotype,emotion,explicit,warn,high,"Stereotypes men as having 'difficult conditions' when offering help and frames men and women as having inherently different friendship qualities, reinforcing gendered expectations of behavior.","Na Rhobi Chacha
MWIGIZAJI mwenye mvuto katika filamu za Bongo, Jennifer Kyaka ‘Odama’, amesema anaogopa marafiki wa kiume kwa kuwa huwa na masharti magumu pindi wanapotoa msaada.
“Wasanii wa kiume kwa"
mke wa nyota wa soka,mme/mwenzi wa nyota wa soka,gender|family_role,family_role,explicit,warn,high,"Woman athlete identified primarily by her relationship to a male athlete ('wife of'), erasing her identity as a world-ranked tennis champion in her own right.","BELGRADE, SERBIA BINGWA wa zamani namba moja wa mchezo wa tenisi duniani kwa upande wa wanawake, Ana Ivanovic, ambaye ni mke wa nyota wa soka wa klabu ya Man United, Bastian Schweinsteiger, ametangaza"
walimu wanawake wanaofundisha,walimu,gender|sexuality,sexuality,explicit,warn,high,"Reports accusations of female teachers having romantic relationships with male students while implying female students promote homosexuality (ushoga), demonstrating victim-blaming and sexual misconduct normalization.","BAADHI ya walimu wanawake wanaofundisha katika shule za sekondari mkoani Rukwa, wanatuhumiwa kuwa na uhusiano wa kimapenzi na wanafunzi wao wa kiume, hususani wale wanaosoma kidato cha tano na sita.Ba"
sura ya kike,sura,gender|appearance,appearance,explicit,warn,high,"Explicitly describes 'female appearance' as a notable characteristic, implying appearance is a defining or surprising feature of this woman's identity in a social media context.","KUNA binti anaitwa Jane Rimoy a.k.a Sanchi. Ni maarufu sana katika mitandao ya kijamii. Ni binti mwenye shepu ya kibantu, sura ya kike na vituko vya mwendawazimu. Kuna kipindi binti huyu aliwahi kusem"
muziki wa Hip Hop ni muziki wa kiume,muziki wa Hip Hop,gender|stereotype,profession,explicit,warn,high,"Expresses a stereotype that Hip Hop is 'male music,' using the gendered marker 'wa kiume' to define genre as masculine and implying women's participation is surprising.","NA CHRISTOPHER MSEKENA, UMEJENGEKA utamaduni ndani ya jamii yetu kuwa  muziki wa Hip Hop ni muziki wa kiume. Hali hiyo imetokana na ukweli kwamba idadi ya wasanii wa kiume ni kubwa kuliko ile ya wasan"
wanafunzi wa kike waliotekwa,wanafunzi waliotekwa,gender|violence,violence,explicit,warn,high,"Reports gendered harm (kidnapping of girls) which reflects systemic targeting of females for abduction, demonstrating gender-based vulnerability.","ABUJA, NIGERIA  SERIKALI ya Nigeria imesema imeongeza ndege ya kivita katika operesheni ya kuwatafuta wanafunzi wa kike waliotekwa Kaskazini Mashariki mwa nchi hii. Takriban wasichana 110 wanaelezwa h"
wasanii wa kike waliosahaulika,wasanii waliosahaulika,gender|occupation,profession,implicit,warn,medium,"Gender specification 'wa kike' suggests female artists are surprisingly forgotten, implying they are exceptional cases rather than normal contributors to independence struggle.",NA JONAS MUSHI MGAHAWA wa Vitabu-Soma umeanza kufanya utafiti wa kuwatambua wasanii wa kike waliosahaulika licha ya kushiriki katika harakati za kupigania uhuru wa Tanzania. Akizungumza mwishoni mwa w
wanafunzi wa kike waliopata ujauzito,wanafunzi waliopata ujauzito,gender|family_role,family_role,explicit,warn,high,"Factual reporting about school dropout due to pregnancy without bias framing; however, the gendered focus on girls frames pregnancy as a female education barrier rather than shared responsibility.","WANAFUNZI 53 wa shule za Unguja na Pemba wamepata ujauzito mwaka 2017/18 na 13 wameamua kurudi shule kuendelea kusoma.Naibu Waziri wa Elimu na Mafunzo ya Amali, Mmanga Mjengo Mjawiri ameyasema hayo wa"
wasanii 10 wa kiume,wasanii 10,gender|occupation,profession,implicit,warn,high,"Specifying 'wa kiume' (male) when listing top artists implies male artists are the default/standard category, marginalizing female artists as exceptions.","Lakini kwa ujumla wake, unapotaja wasanii 10 wa kiume wenye uwezo, jina la Gabo kamwe huwezi kuliweka kando."
taulo za kike,taulo,gender|daily_life,daily_life,implicit,warn,high,"Frames menstruation as a gendered problem causing school absenteeism, implying girls' bodies are a barrier to education rather than addressing structural support needs.",Samwel Mwanga-Maswa  Ukosefu wa taulo za kike katika shule za msingi wilaya ya Maswa mkoani Simiyu limeendelea kuwa tatizo kwa wanafunzi wa kike hali inayopelekea kushindwa kuhudhuria masomo wakati wa
Mwigizaji wa kike na mwimbaji,Mwigizaji na mwimbaji,gender|occupation,profession,implicit,warn,medium,"Gender-marking female artist implies surprise or need to categorize her by gender first, suggesting women in entertainment are non-default.","NA RHOBI CHACHA
MWIGIZAJI wa kike na mwimbaji wa muziki wa Bongo Fleva, Snura Mushi ‘Majanga’, amesema hatavaa nguo za nusu uchi tena kwa kuwa ameshagundua makosa hayo."
shabiki wa kike wa msanii,shabiki wa msanii,gender|stereotype,emotion,implicit,warn,medium,Specifying 'female fan' when announcing suicide threat implicitly frames extreme emotional response as gendered behavior.,"Shabiki huyo wa kike, ambaye hakutaka jina lake lijulikane, amesambaza video yake kwenye mitandao ya kijamii akitangaza kuwa yupo tayari kujiua endapo atashindwa kuonana na Davido kabla ya tarehe yake"
Shabiki huyo wa kike,Shabiki huyo,gender|stereotype,emotion,implicit,warn,medium,"Repeated gendering of fan declaring suicide threat, framing obsessive behavior as female characteristic.",Alisema baadhi ya wazazi wilayani Misungwi wamekuwa wakiwafanya wanafunzi wa kike kama vitega uchumi vya kujipatia mali badala ya kuwaendeleza kitaaluma ili waweze kutimiza ndoto zao za maisha za kuaj
wanafunzi wa kike kama vitega uchumi,wanafunzi kama vitega uchumi,gender|family_role,family_role,explicit,warn,high,"Reports that parents use female students as economic tools instead of developing their potential, normalizing gender-based child exploitation.","Fukunyunyu za Swaggaz kitaani zinaeleza kuwa, mastaa wanaoongoza kwa kufanya hivyo ni wa kike, huku ikidaiwa kuwa hufanya hivyo kwa lengo la kuwaumiza moyo wenzi wao waliowatema."
mtoto mwingine wa kike,mtoto mwingine,gender|family_role,family_role,implicit,warn,medium,"Context shows parents express resignation to receiving another daughter, implying female children are less valued than male children.","‘’Wema Sepetu ni msanii tena anakipaji cha kuimba kama mimi kusema ukweli tumefanya kazi zuri na itakuwa tishio kwa wasanii wa kike ambao wametutangulia kwenye gemu,’’ alisema  Haithamkim."
wasanii wa kike ambao wametutangulia,wasanii ambao wametutangulia,gender|profession,profession,implicit,warn,medium,"Specifies female artists as competition threat, implying women entering male-dominated music field is surprising or problematic.","Mmoja wa wanafunzi anayesoma katika Shule ya Sekondari
Matai, aliunga mkono ombi hilo, akisema iwapo mpango huo ukianza wanafunzi
wengi wa kike wataacha kufanya ngono kwani wataingiwa na hofu kuwa iwa"
wasanii wengi wa kike wamelikosa,wasanii wengi wamelikosa,gender|stereotype,appearance,implicit,warn,high,"Attributes female artists' failure to achieve ambassador status to sexual reputation ('skendo') rather than merit, enforcing sexual double standards.",Swedy aliieleza mahakama kuwa mshtakiwa alimrubuni na kisha alimbaka mwanafunzi huyo wa kike mwenye umri wa miaka 15 aliyekuwa darasa la sita katika Shule ya Msingi Sangamwalugesha.
kuwapima wanafunzi wa kike ujauzito,kuwapima wanafunzi ujauzito,gender|daily_life,daily_life,explicit,warn,high,"School policy to monitor only female students' pregnancies frames girls as sole responsible parties for preventing pregnancy, ignoring male student responsibility.","“Shule
yetu inautaratibu wa kuwapeleka wanafunzi wa kike hospitali kupima ujauzito
kila baada ya miezi mitatu, na akigundulika ni mjamzito kama sheria inavyosema
anafukuzwa shule,” anaeleza Mwalimu Ma"
mtoto huyo wa kike,mtoto huyo,gender|stereotype,family_role,implicit,warn,medium,Specifying 'wa kike' when identifying a child for family control/discipline implies gender-specific vulnerability or need for control of girls,"NA OSCAR ASSENGA KUNA usemi unaosema ukicheka na nyani utavuna mabua, hali hii inajidhihirisha katika matukio ya wanafunzi wa kike kukatishwa masomo kutokana na kupata ujauzito na kusababisha  kushind"
mtoto wa wa kike,mtoto,gender|stereotype,family_role,implicit,warn,medium,Specifying 'wa kike' when discussing pregnancy/family shame implies gender-specific shame and family blame for girls,"SAMWEL MWANGA-MASWA Baadhi ya wazazi Wilayani Maswa, Mkoani Simiyu wameshauri serikali kuwa na utaratibu wa kuwapima ujauzito wanafunzi wa kike kuanzia darasa la nne hadi kidato cha sita mara kwa mara"
urembo wake ndiyo utajiri wake,talanta yake ndiyo utajiri wake,gender|stereotype,appearance,explicit,warn,high,"Explicitly states a female artist's beauty/appearance is her wealth, reducing her value to physical appearance rather than talent",Kuogopa huko kuzeeka ndipo kuliposababisha wasanii wengi wa kike kupitisha muda wa kuolewa kutokana na wanaume wengi kuwakimbia.
mtoto wake wa kike,mtoto wake,gender|stereotype,family_role,implicit,warn,medium,Specifying 'wa kike' when discussing a parent's grief and death preferences implies gender-specific emotional family dynamics,"Tuwe pamoja… SWAGGAZ: Umefikisha miaka 10 kwenye game sasa, ipi siri ya kudumu kwenye gemu kwa muda mrefu wakati wasanii wengi wa kike huishia njiani?"
wasanii wengi wa kike huishia njiani,wasanii wengi huishia njiani,gender|stereotype,capability,implicit,warn,medium,"Implies female artists have shorter or less successful careers than male artists, suggesting gender-based career limitations","Ningependa iwe kwa wanaume pia lakini kama unavyojua tena, yapo mambo ambayo mimi kama mwanamke ni vigumu kumwambia mwanaume."
mhusika mkuu wa kike,mhusika mkuu,gender|occupation,profession,implicit,warn,high,"Adding 'wa kike' to occupational role implies the gender is noteworthy or surprising for that position, implying male-default role assumption.",Toni Morrison (18 Februari 1931 – 5 Agosti 2019) alikuwa mwandishi wa kike nchini Marekani na mshindi wa Tuzo ya Nobel ya Fasihi ya mwaka 1993.
mwandishi wa kike,mwandishi,gender|occupation,profession,implicit,warn,high,Gender marker 'wa kike' applied to profession suggests the gender is exceptional or surprising for that occupation.,"Anafikiri kiwango cha juu cha vifo kinaweza kuwa ""kwa sababu madaktari wa upasuaji wa kiume wana uwezekano mkubwa wa kubatilisha au kuweka pembeni wasiwasi na dalili za mgonjwa wa kike""."
madaktari wa upasuaji wa kiume,madaktari wa upasuaji,gender|occupation,profession,explicit,warn,high,Framing male surgeons as more likely to dismiss female patients' concerns reinforces a gendered stereotype about professional capability and gender bias in healthcare.,Dk Williams anasema madaktari wa upasuaji wa kike hukumbushwa kila mara kuhusu jinsia zao.
madaktari wa upasuaji wa kike,madaktari wa upasuaji,gender|occupation,profession,implicit,warn,medium,"Gender marker suggests female surgeons' gender creates a distinctive concern, implying their gender affects their professional experience.","Kamanda Haule aliwaasa wanafunzi wa kike kujikita zaidi kupenda masomo, ili kutimiza malengo yao, na kuacha tabia ya kujiingiza kwenye masuala ya mapenzi katika umri mdogo, ambayo yamekuwa yakiwaharib"
mawaziri wa kike...hupora mume wa mtu,mawaziri,gender|stereotype,leadership,explicit,warn,high,Frames female ministers through stereotype of sexual misconduct/infidelity rather than policy or leadership capability.,"CHANZO CHA RUSHWA YA NGONO
Profesa wa uchumi (hataki kutajwa) anasema rushwa ya ngono vyuoni hutokea walimu (wahadhiri) wanapotaka kutumia nafasi zao kujinufaisha kwa ngono, huku wanafunzi wa kike nao"
wanafunzi wa kike nao wakitaka kunufaika,wanafunzi wakitaka kunufaika,gender|stereotype,sexuality,explicit,warn,high,"Frames sexual coercion in academia as transactional exchange where female students are willing participants, normalizing sexual quid pro quo.",Mjadala huu ulipata nguvu baada ya Rais John Magufuli kuiagiza Jumuiya ya Wazazi ya Chama Cha Mapinduzi (CCM) kulinda maadili ya kitanzania kwa kukemea uvaaji wa nguo fupi au vimini unaofanywa na wasa
wanafunzi wa kike...kukosa elimu,wanafunzi,gender|family_role,family_role,explicit,warn,high,Policy denying pregnant female students return to school creates gendered educational exclusion based on family role/reproductive status.,"Katika barua ya Zitto kwa WB, aliitaka taasisi hiyo kutotoa fedha hizo, zilizopangwa kuboresha sekta ya elimu nchini kwa madai, serikali ya Rais John Magufuli, imeshindwa kuheshimu utawala wa sheria n"
alihonga ngono kwa mhadhiri,kupokea alama kwa misingi ya kazi yake,gender|sexuality,sexuality,explicit,warn,high,"Implies female students with high grades achieved them through sexual coercion of male professors, a form of sexual violence victim-blaming.","Hoja ya profesa ilikuwa kwamba, je mwanafunzi wa kike hastahili kupata alama za juu kimasomo?"
mwanafunzi wa kike hastahili,mwanafunzi hastahili,gender|capability,capability,explicit,warn,high,"Directly questions whether female students deserve high academic marks, implying gendered capability doubts.",Viongozi wa Ngazi za Juu baadala ya kumwajibisha Diwani Kasimu Ntara badala yake Baraza la Madiwani wa kamteua Diwani Kasimu Ntara kuwa Makamu Mwenyekiti mbali ya kufanya kitendo kiovu kwa mtoto wa Mw
huyo mwanafunzi wa kike,huyo mwanafunzi,pronoun|gender,daily_life,implicit,warn,medium,Gendered identifier used in context of violence; the gender marker emphasizes the female student as victim in a narrative about murder.,Aidha Waziri Ummy amewataka wakuu wa shule za Misingi na Sekondari kuhakikisha wanakusanya taarifa za wanafunzi wa kike wanaoacha masomo kwa sababu za mimba na kuolewa na kuhakikisha zinawasilishwa kw
rubani maarufu wa kike,rubani maarufu,gender|occupation,profession,implicit,warn,medium,"Uses 'wa kike' to mark gender as notable/surprising for pilot role, suggesting women in aviation are counter-normative.","Aidha, kama Mwenyekiti wa Kamati ya ulinzi na Usalama ya Mkoa Mtaka amewahakikishia wazazi kuwa wanafunzi wote watakaokuwa katika kambi watatunzwa na kulindwa huku akiwatahadharisha watu wenye nia mba"
