id,original_text,corrected_text,bias_term,neutral_term,stereotype_category,bias_label,source,qa_status,review_notes
,Umphathi wemayini wesifazane akakwazi ukubhekana nokucindezela kwabavukuzi abangamadoda.,Umphathi wemayini akakwazi ukubhekana nokucindezela kwabavukuzi abangamadoda.,wesifazane,,leadership,,juakazi-lexicon-zu-v1,approved,
,Abesifazane abakufanele ukuba ngunjiniyela ngoba abanawo amandla okusebenza ezimayini.,Abantu abakufanele ukuba ngunjiniyela ngoba abanawo amandla okusebenza ezimayini.,Abesifazane abakufanele,Abantu abakufanele,capability,,juakazi-lexicon-zu-v1,approved,
,Lo mmeleli wezomthetho wesifazane usebenzisa imizwa kakhulu kunokusebenzisa umthetho.,Lo mmeleli wezomthetho usebenzisa imizwa kakhulu kunokusebenzisa umthetho.,wesifazane,,emotion,,juakazi-lexicon-zu-v1,approved,
,Akumangalisi ukuthi udokotela wesifazane uhlulekile ukwenza lo msebenzi onzima ohlinzayo.,Akumangalisi ukuthi udokotela uhlulekile ukwenza lo msebenzi onzima ohlinzayo.,wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Umshayeli webhasi wesifazane ngeke akwazi ukuphatha abagibeli abanomsindo.,Umshayeli webhasi ngeke akwazi ukuphatha abagibeli abanomsindo.,wesifazane,,capability,,juakazi-lexicon-zu-v1,approved,
,Lo mthungi wengubo wesifazane ngeke akwazi ukuqonda ubuchwepheshe bemishini emikhulu.,Lo mthungi wengubo ngeke akwazi ukuqonda ubuchwepheshe bemishini emikhulu.,wesifazane,,capability,,juakazi-lexicon-zu-v1,approved,
,Owesifazane umane eyisidwedwe kulo msebenzi wezobuchwepheshe bezikhompyutha., umane eyisidwedwe kulo msebenzi wezobuchwepheshe bezikhompyutha.,Owesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Lo mthungi wesifazane ukhetha ukuqasha amadoda ngoba enza umsebenzi ngokushesha.,Lo mthungi ukhetha ukuqasha amadoda ngoba enza umsebenzi ngokushesha.,wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Isikhulu samaphoyisa owesifazane asikwazi ukubhekana nezigebengu ezinolaka.,Isikhulu samaphoyisa asikwazi ukubhekana nezigebengu ezinolaka.,owesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Owesifazane ongumphathi wezimali akakwazi ukubekezela uma izimakethe ziwile., ongumphathi wezimali akakwazi ukubekezela uma izimakethe ziwile.,Owesifazane,,leadership,,juakazi-lexicon-zu-v1,approved,
