language,biased,neutral_primary,neutral_alternatives,tags,pos,scope,register,severity,ngeli,number,requires_agreement,agreement_notes,patterns,constraints,avoid_when,example_biased,example_neutral
fr,président,président·e,présidence|direction,gender|role-title,noun,corporate,formal,replace,,,,,,,,Le président a ouvert la réunion.,La présidence a ouvert la réunion.
fr,Président,Président·e,Présidence|Direction,gender|role-title,noun,corporate,formal,replace,,,,,,,,Le président a ouvert la réunion.,La présidence a ouvert la réunion.
fr,le président,la présidence,présidence|direction,gender|role-title,noun,corporate,formal,replace,,,,,,,,Le président a ouvert la réunion.,La présidence a ouvert la réunion.
fr,directeur,directeur·rice,direction,gender|role-title,noun,corporate,formal,replace,,,,,,,,Le directeur gère l'équipe.,La direction gère l'équipe.
fr,Directeur,Directeur·rice,Direction,gender|role-title,noun,corporate,formal,replace,,,,,,,,Le directeur gère l'équipe.,La direction gère l'équipe.
fr,le directeur,la direction,direction,gender|role-title,noun,corporate,formal,replace,,,,,,,,Le directeur gère l'équipe.,La direction gère l'équipe.
fr,policier,officier de police,agent|membre des forces de l'ordre,gender|occupation,noun,law enforcement,neutral,replace,,,,,,,,Le policier a aidé l'enfant.,L'officier de police a aidé l'enfant.
fr,Policier,Officier de police,Agent|Membre des forces de l'ordre,gender|occupation,noun,law enforcement,neutral,replace,,,,,,,,Le policier a aidé l'enfant.,L'officier de police a aidé l'enfant.
fr,le policier,l'officier de police,agent|membre des forces de l'ordre,gender|occupation,noun,law enforcement,neutral,replace,,,,,,,,Le policier a aidé l'enfant.,L'officier de police a aidé l'enfant.
fr,serveuse,serveur·euse,personnel de service,gender|occupation,noun,hospitality,neutral,replace,,,,,,,,La serveuse a pris notre commande.,Le personnel de service a pris notre commande.
fr,Serveuse,Serveur·euse,Personnel de service,gender|occupation,noun,hospitality,neutral,replace,,,,,,,,La serveuse a pris notre commande.,Le personnel de service a pris notre commande.
fr,la serveuse,le personnel,personnel de service,gender|occupation,noun,hospitality,neutral,replace,,,,,,,,La serveuse a pris notre commande.,Le personnel de service a pris notre commande.
fr,infirmière,personnel infirmier,infirmier·ère|soignant,gender|occupation,noun,healthcare,neutral,replace,,,,,,,,L'infirmière soigne les patients.,Le personnel infirmier soigne les patients.
fr,Infirmière,Personnel infirmier,Infirmier·ère|Soignant,gender|occupation,noun,healthcare,neutral,replace,,,,,,,,L'infirmière soigne les patients.,Le personnel infirmier soigne les patients.
fr,l'infirmière,le personnel infirmier,personnel infirmier|soignant,gender|occupation,noun,healthcare,neutral,replace,,,,,,,,L'infirmière soigne les patients.,Le personnel infirmier soigne les patients.
