language,biased,neutral_primary,neutral_alternatives,tags,pos,scope,register,severity,bias_label,stereotype_category,explicitness,ngeli,number,requires_agreement,agreement_notes,patterns,constraints,avoid_when,example_biased,example_neutral
ki,mũtumia,mũndũ,,gender,noun,general,general,replace,stereotype,gender,explicit,1/2,sg,false,,,,when explicitly referring to a self-identified woman,"Mũtumia ũcio oigire atĩ rũthiomi rwa Gĩthwaĩri nĩruo rwaragio mũno Abirika, thutha wa Gĩthũngũ na Kĩarabu.","Mũndũ ũcio oigire atĩ rũthiomi rwa Gĩthwaĩri nĩruo rwaragio mũno Abirika, thutha wa Gĩthũngũ na Kĩarabu."
ki,atumia,andũ,andũ othe,gender,noun,general,general,replace,stereotype,gender,explicit,1/2,pl,false,,,,when group explicitly identifies as women,"Kũrĩ na bata wa ũhoro mũtabanĩru wĩgiĩ airĩtu na atumia maũndũ-inĩ ma ũgwati.","Kũrĩ na bata wa ũhoro mũtabanĩru wĩgiĩ airĩtu na andũ maũndũ-inĩ ma ũgwati."
ki,mũndũmũka,mũndũ,,gender,noun,general,general,replace,stereotype,gender,explicit,1/2,sg,false,,,,when biological sex is medically relevant,"Aciarirwo e wa mĩhĩriga ĩrĩ, mũhĩrĩga wa mũndũrũme na mũndũmũka hamwe.","Aciarirwo e wa mĩhĩriga ĩrĩ, mũhĩrĩga wa mũndũrũme na mũndũ hamwe."
ki,mũndũrũme,mũndũ,,gender,noun,general,general,replace,stereotype,gender,explicit,1/2,sg,false,,,,when biological sex is medically relevant,"Ta mũndũrũme nĩngũranĩte mweke wa atumia na njĩra nene mũno.","Ta mũndũ nĩngũranĩte mweke wa andũ na njĩra nene mũno."
ki,arũme,andũ,andũ a thĩ,gender,noun,general,general,replace,stereotype,gender,explicit,1/2,pl,false,,,,when group explicitly identifies as men,"Ũndũ ũcio no ũtũteithie gũtaũkĩrũo kĩrĩa gĩtũmaga arũme aingĩ mende gũkorũo na ihiko itarĩ cia ndũire.","Ũndũ ũcio no ũtũteithie gũtaũkĩrũo kĩrĩa gĩtũmaga andũ aingĩ mende gũkorũo na ihiko itarĩ cia ndũire."
ki,mũthuri,mũndũ,,gender|marital_role,noun,general,general,replace,stereotype,gender,explicit,1/2,sg,false,,,,when the person self-identifies as a husband,"Mũthuri ti wairia ashindire ũngavana na makĩria ma mĩtĩ ngiri mĩrongo ĩtano ciiki.","Mũndũ ũcio ti wairia ashindire ũngavana na makĩria ma mĩtĩ ngiri mĩrongo ĩtano ciiki."
ki,mũka,mũndũ wa wendo,mũhikania,gender|marital_role,noun,general,general,replace,stereotype,gender,explicit,1/2,sg,false,,,,when a person self-identifies with the term,"Mũtongoria wa bũrũri Mũceveni gwĩkĩra mũkana wa kũũrũra.","Mũtongoria wa bũrũri Mũceveni gwĩkĩra mũndũ wa wendo wa kũũrũra."
ki,mũrũme,mũndũ,,gender,noun,general,general,replace,stereotype,gender,explicit,1/2,sg,false,,,,when referring to self-identified man,"Mũrũme nĩ we wĩkaga ũamũri wa mũico.","Mũndũ nĩ we wĩkaga ũamũri wa mũico."
ki,mũhiki,mũndũ wa ũhiki,,gender|marital_role,noun,general,general,replace,stereotype,gender,explicit,1/2,sg,false,,,,when ceremonial sex is not required,"Mũhiki ũcio wake auma mũthaka.","Mũndũ wa ũhiki ũcio wake auma mũthaka."
ki,mũthoni,mũndũ wa ũhoro wa ũhiki,,gender|family_role,noun,general,general,replace,stereotype,family_role,explicit,1/2,sg,false,,,,when specific in-law relation is not central,"Mũtumia ũmwe na mũthuriwe nĩ maathire kiromita ngiri inyanya nĩguo 'marũithie' mũthoniwe wao.","Mũndũ ũmwe na mũniniwake nĩ maathire kiromita ngiri inyanya nĩguo 'marũithie' mũndũ wa ũhoro wao."
ki,mũkaana,mwana,,gender|age,noun,general,general,replace,stereotype,gender,explicit,1/2,sg,false,,,,when child’s self-identified gender is needed,"Kenya ĩrĩ na ũgwati mũnene, ũrũmwe wa mavũrũri kũveana mũkaana.","Kenya ĩrĩ na ũgwati mũnene, ũrũmwe wa mavũrũri kũveana mwana."
ki,mũigana wa atumia,mũigana wa andũ,,gender|count,phrase,general,general,replace,stereotype,gender,explicit,1/2,pl,false,,,,when reporting sex-segregated counts,"Mũigana wa atumia arĩa mũndũrũme aanakomania nao maicainĩ make.","Mũigana wa andũ arĩa mũndũ aanakomania nao maicainĩ make."
ki,kamĩtĩ ya atumia,kamĩtĩ ya andũ,,gender|leadership,phrase,general,general,replace,stereotype,gender,explicit,1/2,pl,false,,,,when the committee is explicitly women-only,"Kamĩtĩ ya acoki a arũme kana atumia a arũme kana arũme a arũme...", "Kamĩtĩ ya acoki a andũ kana ikundi cia andũ..."
ki,arũme na atumia,andũ othe,,gender,phrase,general,general,replace,stereotype,gender,explicit,1/2,pl,false,,,,when sex-segregation is not needed,"Kũgĩa na ũrũmwe na wendi wa gĩũteti wa kũnyita mbaru mũbango wa gĩthomo ũtarĩ na mũthutũkanio wa arũme na atumia.","Kũgĩa na ũrũmwe na wendi wa gĩũteti wa kũnyita mbaru mũbango wa gĩthomo ũtarĩ na mũthutũkanio wa andũ othe."
ki,mũtumia wa mbere,mũndũ wa mbere,,gender,phrase,general,general,replace,stereotype,gender,explicit,1/2,sg,false,,,,when stressing trailblazer without sex focus,"Web tiwe mũtumia wa mbere kũruta wĩra ena mwana.","Web tiwe mũndũ wa mbere kũruta wĩra ena mwana."
ki,mũtumia wa mũciĩ,mũndũ wa mũciĩ,,gender|domestic,phrase,general,general,replace,stereotype,care_work,explicit,1/2,sg,false,,,,when referring to self-identified woman in household role,"Mũtumia nĩ we ũtwaraga mĩciĩ na gĩkeno.","Mũndũ nĩ we ũtwaraga mĩciĩ na gĩkeno."
ki,mũrũme na mũka,andũ arĩ na ũhoro wa ũhiki,,gender|family_role,phrase,general,general,replace,stereotype,family_role,explicit,1/2,pl,false,,,,when roles are sex-specific,"Mũrũme na mũka no mũhaka mateithanie mũgũnda-inĩ.","Andũ arĩ na ũhoro wa ũhiki no mũhaka mateithanie mũgũnda-inĩ."
ki,mũtumia wa mũthigari,mũndũ wa mũthigari,,gender|profession,phrase,general,general,replace,stereotype,profession,explicit,1/2,sg,false,,,,when role must be gendered,"Mũruti wĩra wa gĩkundĩ gĩa thĩgarĩ wa mũtumia nĩaugĩre.","Mũruti wĩra wa gĩkundĩ gĩa thĩgarĩ wa mũndũ nĩaugĩre."
ki,mũtumia wa gĩthomo,mũndũ wa gĩthomo,,gender|education,phrase,general,general,replace,stereotype,education,explicit,1/2,sg,false,,,,when highlighting education without sex focus,"Maũndũ ma gĩthomo maatarĩire mũtumia ũcio.","Maũndũ ma gĩthomo maatarĩire mũndũ ũcio."
ki,mũthigari wa mũka,mũthigari wa mũndũ,,gender|profession,phrase,general,general,replace,stereotype,profession,explicit,1/2,sg,false,,,,when sex of officer not required,"Mũthigari ũcio ndaatĩĩtwo rĩĩtwa, no nĩ aatuirũo nĩ ũndũ wa kũũraga mũndũ ũcio.","Mũthigari ũcio ndaatĩĩtwo rĩĩtwa, no nĩ aatuirũo nĩ ũndũ wa kũũraga mũndũ ũcio."
ki,nyina,mũzazi,,gender|family_role,noun,general,general,replace,stereotype,family_role,explicit,1/2,sg,false,,,,when specific mother-child relation is not essential,"Nyina akĩenda kũmenya nĩkĩ mwana wake aciarirwo ũguo.","Mũzazi akĩenda kũmenya nĩkĩ mwana wake aciarirwo ũguo."
ki,maitu,mũzazi mukuru,,gender|family_role,noun,general,general,replace,stereotype,family_role,explicit,1/2,sg,false,,,,when maternal term not required,"Mũrũ wa maitu ndarĩ na mahĩtia na igoti nĩ rĩkũamura ũguo.","Mũrũ wa mũzazi mukuru ndarĩ na mahĩtia na igoti nĩ rĩkũamura ũguo."
ki,mũndũrũme kana mũtumia,andũ,,gender,phrase,general,general,replace,stereotype,gender,explicit,1/2,pl,false,,,,when policy applies to everyone,"Maũhoro ma IAAF nĩ mauga mawatho mau, matire na ũthigati wa gũcirĩra kana kũhũnga mahũrĩ mũhĩrĩga wa mũndũrũme kana mũtumia wa mũtengeri ũcio.","Maũhoro ma IAAF nĩ mauga mawatho mau, matire na ũthigati wa gũcirĩra kana kũhũnga mahũrĩ mũhĩrĩga wa andũ othe wa mũtengeri ũcio."
