id,language,script,country,region_dialect,source_type,source_ref,collection_date,text,domain,topic,theme,sensitive_characteristic,target_gender,bias_label,stereotype_category,explicitness,sentiment_toward_referent,device,safety_flag,pii_removed,annotator_id,qa_status,notes
ZU-ZAF-00001,zu,Latin,South Africa,Standard Zulu,social_media,News24 Zulu,11/13/2025,Ukuchitha imali njalo kwale ndoda kukhukhuza izinsiza zenkampani.,Livelihoods And Work,economy_finance,stereotypes,gender,male,derogation,daily_life,explicit,negative,mobile,safe,FALSE,Wellington_Gombarume,passed,
ZU-ZAF-00002,zu,Latin,South Africa,Standard Zulu,social_media,Ukhozi FM (Facebook Comments),12/1/2025,Ukuqoqoza kwalo wesifazane kuhlala kubambezela intuthuko yangempela esikhwameni somphakathi.,Livelihoods And Work,economy_finance,stereotypes,gender,female,derogation,daily_life,explicit,negative,desktop,safe,FALSE,Wellington_Gombarume,passed,
ZU-ZAF-00003,zu,Latin,South Africa,Standard Zulu,media,UmAfrika Newspaper,1/6/2026,"Lowo wesilisa ungumdlali nje ongenamqondo ngezimali zakhe, uyolahlekelwa yikho konke.",Livelihoods And Work,economy_finance,stereotypes,gender,male,derogation,daily_life,explicit,negative,mobile,safe,FALSE,Wellington_Gombarume,passed,
ZU-ZAF-00004,zu,Latin,South Africa,Standard Zulu,social_media,The Witness (Zulu Section),1/1/2026,"Lo wesifazane ufana nesiwula esincela umnotho, uhlale efuna inzuzo esheshayo ngendleko zabanye.",Livelihoods And Work,economy_finance,stereotypes,gender,female,derogation,daily_life,explicit,negative,mobile,safe,FALSE,Wellington_Gombarume,passed,
ZU-ZAF-00005,zu,Latin,South Africa,Standard Zulu,community,eNCA IsiZulu,11/22/2025,"Le ndoda ingumnini-mhlaba odumile ngobunuku, evumela izakhiwo zayo ukuba zibole ngenkathi enyusa amaranti.",Household And Care,real_estate_housing,stereotypes,gender,male,derogation,daily_life,explicit,negative,mobile,safe,FALSE,Wellington_Gombarume,passed,
ZU-ZAF-00006,zu,Latin,South Africa,Standard Zulu,community,IsiZulu Language Blog,1/24/2026,"Umane nje ungumhlali ongemthetho, lo wesifazane, ongahlanganisi lutho ngaphandle kwezinkinga emphakathini.",Household And Care,real_estate_housing,stereotypes,gender,female,derogation,daily_life,explicit,negative,mobile,safe,FALSE,Wellington_Gombarume,passed,
ZU-ZAF-00007,zu,Latin,South Africa,Standard Zulu,community,Ukhozi FM (Facebook Comments),1/5/2026,"Isakhiwo salo wesilisa siyisithunzi esibhidlikayo, ubufakazi bokunganakwa.",Household And Care,real_estate_housing,stereotypes,gender,male,derogation,daily_life,explicit,negative,mobile,safe,FALSE,Wellington_Gombarume,passed,
ZU-ZAF-00008,zu,Latin,South Africa,Standard Zulu,web_public,Daily Sun (Zulu),11/26/2025,"Lefulethi lelo lo wesifazane azama ukulithengisa liyindlu encane nje ehlwempu, kodwa ufuna ingcebo.",Household And Care,real_estate_housing,stereotypes,gender,female,derogation,daily_life,explicit,negative,mobile,safe,FALSE,Wellington_Gombarume,passed,
ZU-ZAF-00009,zu,Latin,South Africa,Standard Zulu,media,Twitter (X) Thread,12/19/2025,"Umane nje ungumbhali ohlwempu, le ndoda, ekhiqiza izindaba ezingenalutho.",Culture And Religion,literature_folklore,stereotypes,gender,male,derogation,daily_life,explicit,negative,desktop,safe,FALSE,Wellington_Gombarume,passed,
ZU-ZAF-00010,zu,Latin,South Africa,Standard Zulu,community,Isolezwe News,11/11/2025,"Inoveli yakhe yakamuva iyisenzo esicacile sokuntshontsha umsebenzi, lo wesifazane, entanta ngaphandle kokuhlazeka kwabanye.",Culture And Religion,literature_folklore,stereotypes,gender,female,derogation,daily_life,explicit,negative,desktop,safe,FALSE,Wellington_Gombarume,passed,
