language,biased,neutral_primary,neutral_alternatives,tags,pos,scope,register,severity,bias_label,stereotype_category,explicitness,ngeli,number,requires_agreement,agreement_notes,patterns,constraints,avoid_when,example_biased,example_neutral
fr,président,président·e,présidence|direction,gender|role-title,noun,corporate,formal,replace,stereotype,profession,explicit,,,,,,,,Le président a ouvert la réunion.,La présidence a ouvert la réunion.
fr,Président,Président·e,Présidence|Direction,gender|role-title,noun,corporate,formal,replace,stereotype,profession,explicit,,,,,,,,Le président a ouvert la réunion.,La présidence a ouvert la réunion.
fr,le président,la présidence,présidence|direction,gender|role-title,noun,corporate,formal,replace,stereotype,profession,explicit,,,,,,,,Le président a ouvert la réunion.,La présidence a ouvert la réunion.
fr,directeur,directeur·rice,direction,gender|role-title,noun,corporate,formal,replace,stereotype,profession,explicit,,,,,,,,Le directeur gère l'équipe.,La direction gère l'équipe.
fr,Directeur,Directeur·rice,Direction,gender|role-title,noun,corporate,formal,replace,stereotype,profession,explicit,,,,,,,,Le directeur gère l'équipe.,La direction gère l'équipe.
fr,le directeur,la direction,direction,gender|role-title,noun,corporate,formal,replace,stereotype,profession,explicit,,,,,,,,Le directeur gère l'équipe.,La direction gère l'équipe.
fr,policier,officier de police,agent|membre des forces de l'ordre,gender|occupation,noun,law enforcement,neutral,replace,stereotype,profession,explicit,,,,,,,,Le policier a aidé l'enfant.,L'officier de police a aidé l'enfant.
fr,Policier,Officier de police,Agent|Membre des forces de l'ordre,gender|occupation,noun,law enforcement,neutral,replace,stereotype,profession,explicit,,,,,,,,Le policier a aidé l'enfant.,L'officier de police a aidé l'enfant.
fr,le policier,l'officier de police,agent|membre des forces de l'ordre,gender|occupation,noun,law enforcement,neutral,replace,stereotype,profession,explicit,,,,,,,,Le policier a aidé l'enfant.,L'officier de police a aidé l'enfant.
fr,serveuse,serveur·euse,personnel de service,gender|occupation,noun,hospitality,neutral,replace,stereotype,profession,explicit,,,,,,,,La serveuse a pris notre commande.,Le personnel de service a pris notre commande.
fr,Serveuse,Serveur·euse,Personnel de service,gender|occupation,noun,hospitality,neutral,replace,stereotype,profession,explicit,,,,,,,,La serveuse a pris notre commande.,Le personnel de service a pris notre commande.
fr,la serveuse,le personnel,personnel de service,gender|occupation,noun,hospitality,neutral,replace,stereotype,profession,explicit,,,,,,,,La serveuse a pris notre commande.,Le personnel de service a pris notre commande.
fr,infirmière,personnel infirmier,infirmier·ère|soignant,gender|occupation,noun,healthcare,neutral,replace,stereotype,profession,explicit,,,,,,,,L'infirmière soigne les patients.,Le personnel infirmier soigne les patients.
fr,Infirmière,Personnel infirmier,Infirmier·ère|Soignant,gender|occupation,noun,healthcare,neutral,replace,stereotype,profession,explicit,,,,,,,,L'infirmière soigne les patients.,Le personnel infirmier soigne les patients.
fr,l'infirmière,le personnel infirmier,personnel infirmier|soignant,gender|occupation,noun,healthcare,neutral,replace,stereotype,profession,explicit,,,,,,,,L'infirmière soigne les patients.,Le personnel infirmier soigne les patients.
fr,enseignant,enseignant·e,corps enseignant|personne enseignante,gender|occupation,noun,education,neutral,replace,stereotype,profession,explicit,,,,,,,,L'enseignant explique la leçon.,Le corps enseignant explique la leçon.
fr,Enseignant,Enseignant·e,Corps enseignant|Personne enseignante,gender|occupation,noun,education,neutral,replace,stereotype,profession,explicit,,,,,,,,L'enseignant explique la leçon.,Le corps enseignant explique la leçon.
fr,l'enseignant,le corps enseignant,corps enseignant|personne enseignante,gender|occupation,noun,education,neutral,replace,stereotype,profession,explicit,,,,,,,,L'enseignant explique la leçon.,Le corps enseignant explique la leçon.
fr,un médecin homme,un médecin,praticien·ne|professionnel·le de santé,gender|occupation,phrase,healthcare,neutral,replace,stereotype,profession,explicit,,,,,,,,Un médecin homme examine le patient.,Un médecin examine le patient.
fr,une femme médecin,un médecin,praticien·ne|professionnel·le de santé,gender|occupation,phrase,healthcare,neutral,replace,stereotype,profession,explicit,,,,,,,,Une femme médecin examine le patient.,Un médecin examine le patient.
fr,le médecin masculin,le médecin,praticien·ne|professionnel·le de santé,gender|occupation,phrase,healthcare,neutral,replace,stereotype,profession,explicit,,,,,,,,Le médecin masculin examine le patient.,Le médecin examine le patient.
fr,ingénieur,ingénieur·e,personne ingénieure|membre de l'ingénierie,gender|occupation,noun,technology,neutral,replace,stereotype,profession,explicit,,,,,,,,L'ingénieur conçoit le système.,L'ingénieur·e conçoit le système.
fr,Ingénieur,Ingénieur·e,Personne ingénieure|Membre de l'ingénierie,gender|occupation,noun,technology,neutral,replace,stereotype,profession,explicit,,,,,,,,L'ingénieur conçoit le système.,L'ingénieur·e conçoit le système.
fr,l'ingénieur,l'ingénieur·e,personne ingénieure|membre de l'ingénierie,gender|occupation,noun,technology,neutral,replace,stereotype,profession,explicit,,,,,,,,L'ingénieur conçoit le système.,L'ingénieur·e conçoit le système.
fr,la secrétaire,le personnel administratif,assistant·e|personnel administratif,gender|occupation,phrase,administrative,neutral,replace,stereotype,profession,explicit,,,,,,,,La secrétaire organise les dossiers.,Le personnel administratif organise les dossiers.
fr,une secrétaire femme,une secrétaire,assistant·e|personnel administratif,gender|occupation,phrase,administrative,neutral,replace,stereotype,profession,explicit,,,,,,,,Une secrétaire femme organise les dossiers.,Une secrétaire organise les dossiers.
fr,homme,personne,individu|être humain,gender|pronoun,noun,general,neutral,replace,stereotype,profession,explicit,,,,,,,,Un homme peut réussir.,Une personne peut réussir.
fr,Homme,Personne,Individu|Être humain,gender|pronoun,noun,general,neutral,replace,stereotype,profession,explicit,,,,,,,,Un homme peut réussir.,Une personne peut réussir.
fr,l'homme,la personne,individu|être humain,gender|pronoun,noun,general,neutral,replace,stereotype,profession,explicit,,,,,,,,L'homme peut réussir.,La personne peut réussir.
