id,original_text,corrected_text,stereotype_category,explicitness,domain,source,qa_status,review_notes
HA-NG-83BD3F0B,"Sau da yawa abokan aikinta kan ce, 'Adama, ke ce zuciyar wannan wuri.' Ba wai suna nufin tsokar da ke bugawa don tafiyar da jiki ba ne, a'a, suna nufin bugun nan mai taushi da ke ba da nutsuwa a bayan fage.","Sau da yawa abokan aikinta kan ce, 'Mai jari, ke ce zuciyar wannan wuri.' Ba wai suna nufin tsokar da ke bugawa don tafiyar da jiki ba ne, a'a, suna nufin bugun nan mai taushi da ke ba da nutsuwa a bayan fage.",family_role,implicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-5725DE82,"Ya ce, ‘Halima fa?","Ya ce, 'Wace ne?",character,explicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-78C6B1E5,"Tana kamar fure ne da ke fita don yin ƙawanya da bayar da ƙamshi, wannan ita ce babbar gudunmawarta ga duniya.","Yana kamar jiya ne da ke fita don yin ƙawanya da bayar da ƙamshi, wannan shine babbar gudunmawarta ga duniya.",appearance,implicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-D3085773,"Da farko, idan ka dauki mace aiki, ka tuna da ainihin halittarta mai rauni.","Da farko, idan ka dauki mutum aiki, ka tuna da ainihin halittarsa mai rauni.",character,explicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-0A7D0AA0,"Shin ta san ainihin bambancin na'urar 'grader' da 'excavator' a aikace, ba wai kawai a cikin hotuna da bidiyo ba?","Shin ya san ainihin bambancin na'urar 'grader' da 'excavator' a aikace, ba wai kawai a cikin hotuna da bidiyo ba?",appearance,implicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-02A6285A,"“Amma fa wannan aikin gine-gine, filin daga ne, ba wurin wasan yara mata ba ne,” inji shi, yana nuna mata cewa karfinta bai kai na wannan fage ba.","""Amma fa wannan aikin gine-gine, filin daga ne, ba wurin wasan yara ba ne,"" inji shi, yana nuna cewa karfin kowa bai kai na wannan fage ba.",capability,explicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-B6B573E3,"Wannan wani bangare ne na nuna girmamawa da kuma sanin ya kamata, wanda ake bukata daga gare ki a matsayin mace.","Wannan wani bangare ne na nuna girmamawa da kuma sanin ya kamata, wanda ake bukata daga gare ki a matsayin mai aiki.",appearance,explicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-EB33942D,"Bayan haka, ‘kowa ya san inda dare ya yi masa.’ Kowannenmu da irin aikin da ya dace da shi.” Aisha ta ci gaba da cewa, “Ki yi tunani mana.","Bayan haka, 'kowa ya san inda dare ya yi masa.' Kowannenmu da irin aikin da ya dace da shi."" Aisha ta ci gaba da cewa, ""Yi tunani mana.",profession,explicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-B5C75573,Wa zai tsara yadda za a jera abinci idan an yi taron Sallah?,Wanda zai tsara yadda za a jera abinci idan an yi taron Sallah?,religion_culture,implicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-8CD4BF46,Ita ce gishirin da ke sa miyar aikinmu ta yi armashi.,Shi/ita ce gishirin da ke sa miyar aikinmu ta yi armashi.,profession,implicit,livelihoods_and_work,claude-haiku-draft,approved,
