ngram,count,example
na atumia,162,Kũrĩ na bata wa ũhoro mũtabanĩru wĩgiĩ airĩtu na atumia maũndũ-inĩ ma ũgwati
atumia arĩa,130,"Gĩcunjĩ kĩa atumia arĩa mahũthagĩra njĩra cia kĩĩrĩu nĩ nini Mandera ĩgacokwo nĩ Wajir,Marsabit, Garissa nayo Embu ĩgĩtongoria"
cia atumia,108,"Kũringana na ũrĩa maũndũ matariĩ, ikundi iria irũagĩrĩra ihooto cia atumia nĩ ciagathĩrĩirio na igateithĩrĩrio nĩ andũ arĩa arĩa maacokirie ciũria ciao, na igĩkĩrĩrũo atĩ no itungatĩre harĩ kũheana ũira na gũcokanĩrĩria ũhoro."
mũtumia wake,107,"Mũtumia wake Nadeau eerire CBC ũũ: ""Ũcio warĩ ũhiki wa andũ erĩ."
mũtumia ũcio,95,"Mũtumia ũcio oigire atĩ rũthiomi rwa Gĩthwaĩri nĩruo rwaragio mũno Abirika, thutha wa Gĩthũngũ na Kĩarabu."
mũtumia wa,94,"Maũhoro ma IAAF nĩ mauga mawatho mau,matire na ũthigati wa gũcirĩra kana kũhũnga mahũrĩ mũhĩrĩga wa mũndũrũme kana mũtumia wa mũtengeri ũcio."
na mũtumia,90,Nĩ kwarĩ na mũtumia rũhongeinĩ  rwa ũgima mwega wa mwĩrĩ ũrĩa watũteithagia gũcaria atumia acio.
wa nyina,90,Ena mũru wa nyina etagwo Gilbert Kamau.
wa atumia,81,Athomi a sayansi kuuma Bũrũri wa Austria moigaga atĩ mũigana wa atumia arĩa makuaga hĩndĩ ya gũciara nĩ ũnyihĩte nĩ ũndũ wa gũciara na njĩra ya gũthĩnjwo
atumia aingĩ,81,Atumia aingĩ mathiaga kũheo ciana na njĩra ya gũthĩnjwo nĩ ũndũ wa mũromo njĩra wa mwana ũkoragwo ũrĩ mũceke.
atumia na,69,"Ũngania ndũmĩrĩri ya mũkũrĩre wa ciana, atumia na athuri"
mũthuri ũcio,66,Mũthuri ũcio agĩthiĩ kahora akĩinainagia mũtwe
atumia a,65,Kamĩtĩ ya acoki a arũme kana atumia a arũme kana arũme a arũme kana airĩtu a arũme kana airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu.
arũme na,65,Kũgĩa na ũrũmwe na wendi wa gĩũteti wa kũnyita mbaru mũbango wa gĩthomo ũtarĩ na mũthutũkanio wa arũme na atumia
kĩa atumia,55,Gĩcunjĩ gĩa ikũmi na ithano harĩ igana kĩa atumia a mĩaka ikũmi na ĩtano nginyagia ikũmi na kenda managĩa nda
mwanake ũcio,53,mwanake ũcio ena wĩra mwega
arũme na atumia,52,Kũgĩa na ũrũmwe na wendi wa gĩũteti wa kũnyita mbaru mũbango wa gĩthomo ũtarĩ na mũthutũkanio wa arũme na atumia
atumia nĩ,49,"Kũringana na ũrĩa maũndũ matariĩ, ikundi iria irũagĩrĩra ihooto cia atumia nĩ ciagathĩrĩirio na igateithĩrĩrio nĩ andũ arĩa arĩa maacokirie ciũria ciao, na igĩkĩrĩrũo atĩ no itungatĩre harĩ kũheana ũira na gũcokanĩrĩria ũhoro."
nyina wa,48,nyina wa kicha nĩ amũkania na arega
mũthuri ti,47,Mũthuri ti wairia ashindire ũngavana na makĩria ma mĩtĩ ngiri mĩrongo ĩtano ciiki.
mũtumia wakwa,45,Ndeithia kũhe mũtumia wakwa maĩ.
nyina na,45,"Dalili nĩ ta nda kuuma, thakame kwaga gũcera wega harĩ mwana na nyina, na ciana gũciarwo citarĩ na ũritũ mũkinyanĩru"
harĩ atumia,44,"Harĩ atumia a mĩaka ikũmi na ĩtano nginya mĩrongo ĩna na kenda na matihikĩte,gĩcunjĩ kĩa mĩrongo mũgwanja nĩmatũmagĩra njĩra icio na gĩcunjĩ kĩa mĩrongo ĩtano na kenda magĩtũmĩra njĩra cia kĩĩrĩu"
mũthuri ũrĩa,44,Mũthuri ũrĩa athiiaga na mũkwanjũ.
wa mũtumia,41,Mũruti wĩra wa gĩkundĩ gĩa thĩgarĩ wa mũtumia nĩaugĩre.
atumia arĩa marĩ,41,Gĩcunjĩ kĩa mĩrongo ĩtandatũ na ithatũ harĩ igana kĩa atumia arĩa marĩ kĩhiko inĩ nĩmatũmagĩra njĩra cia kũgiria kuoha nda gĩcunjĩ kĩa mĩrongo ĩtano  na mũgwanja gĩgĩtũmĩra njĩra cia kĩĩrĩu
mũtumia ũrĩa,39,Mũtumia wĩtagwo Mghwira nowe warĩ mũtumia ũrĩa warũgamĩte gĩthuranoĩnĩ kĩa ũtongoria wa bũrũriwa kĩrĩa kĩarĩ mwakaĩnĩ wa ngiri igĩrĩ na ikũmi na ithano.
ikundi cia atumia,39,Ikundi cia atumia cirabatara kũnyitwo guoko harĩ biacara.
nĩ mũtumia,37,Ngina nĩ mũtumia wa Kenyatta.
mwarĩ wa nyina,36,Amũmenyithanagia kũrĩ andũ ta mwarĩ wa nyina ũrĩa mũnini Molly 
mũtumia ũmwe,35,Ruthu Wacuka: ũrĩa kĩheo gĩa gũtuma giacenjirie mũtũrĩre wa mũtumia ũmwe bũrũri-nĩ wa Kenya.
kũhikia atumia,35,Nĩ mũithĩramu na ndini yake nĩ ĩmũĩtĩkĩrĩtie kũhikia atumia aingĩ.
atĩ mũtumia,34,Ũthuthuria wa ica ikuvĩ wonanirie atĩ mũtumia ũmwe.
arũme arĩa,34,Bũrũri wa Indonesia nĩ ũkoretwo na ũhinyanĩrĩria mũingĩ kwerekera arũme arĩa makomaga na arũme arĩa angĩ na arũme arĩa makomaga na arũme arĩa angĩ.
na mũtumia wake,34,Gĩkundi kĩa abunge matongoretio nĩ Senator Ted Cruz na Mũtumia wake.
ya atumia,33,Itua o ta rĩu nĩrĩgwikika ona riginĩ ya atumia
na mũthuri,33,mũthenya wa kana no nginya njemanie na mũthuri ti juma thaa inyanya mũthenya ndagũthaitha kururĩra karenda-inĩ 
athuri na atumia,32,Kenya no ĩrathiĩ na mbere na gũtongoria ihenya rĩa athuri na atumia.
kũhikia atumia aingĩ,32,Nĩ mũithĩramu na ndini yake nĩ ĩmũĩtĩkĩrĩtie kũhikia atumia aingĩ.
mũthuri wake,31,Baba wao amũgiririe gũka mũciĩ na mwana no amũcokirie kwĩ mũthuri wake.
wa arũme,29,Kũgĩa na ũrũmwe na wendi wa gĩũteti wa kũnyita mbaru mũbango wa gĩthomo ũtarĩ na mũthutũkanio wa arũme na atumia
mũrũ wa nyina,29,"Ningĩ nĩ kuonekire atĩ Robert Mwangi, mũthuri wa Mwangi na mũrũ wa nyina na mũtigaireKimani, nĩ aahutirio nĩ ũici ũcio tondũ biacara yake ya njohi nĩ yathũire."
na nyina,28,Heana cionereria cia kuonania ũgima wa  mwĩrĩ wa mwana na nyina
na arũme,28,Gĩcunjĩ kĩa atumia na arũme a mĩaka ikũmi na ĩtano nginya mĩrongo ĩna na kenda kĩa arĩa manaigua ũhoro wa mũrimũ wa mahũri
atumia no,27,Atumia no makorũo na thakame nyingĩ ya ihinda rĩa mweri.
mũkawa wa,27,Mũkawa wa Jakes wĩ irio ci cama. 
kwaga kũhikia atumia,27,"Tariki ikũmi na ithano mweri-inĩ wa Mũgaa mwaka wa ngiri igĩrĩ na mĩrongo ĩrĩ na ũmwe, Taliban nĩmathĩte athani ao kwaga kũhikia atumia aingĩ"
ao kwaga kũhikia atumia,27,"Tariki ikũmi na ithano mweri-inĩ wa Mũgaa mwaka wa ngiri igĩrĩ na mĩrongo ĩrĩ na ũmwe, Taliban nĩmathĩte athani ao kwaga kũhikia atumia aingĩ"
kwaga kũhikia atumia aingĩ,27,"Tariki ikũmi na ithano mweri-inĩ wa Mũgaa mwaka wa ngiri igĩrĩ na mĩrongo ĩrĩ na ũmwe, Taliban nĩmathĩte athani ao kwaga kũhikia atumia aingĩ"
ao kwaga kũhikia atumia aingĩ,27,"Tariki ikũmi na ithano mweri-inĩ wa Mũgaa mwaka wa ngiri igĩrĩ na mĩrongo ĩrĩ na ũmwe, Taliban nĩmathĩte athani ao kwaga kũhikia atumia aingĩ"
atumia arĩa marĩ na,26,"Nĩguo mũndũ ahote kũmenya kana arĩ na kanca ya nyondo, atumia arĩa marĩ na nda na arĩa marongithia nĩ mabatie gwĩthuthuria nyondo ciao. "
nyina nĩ,26,Nyina nĩ aageragia kwaria nake.
kũrĩ atumia,25,Nĩ yonekaga kaingĩ kũrĩ atumia na andũ akũrũ. 
cia mũtumia,24,Ningĩ nĩ atũmire ndũmĩrĩri thĩinĩ wa rũrenda rwa Watisapu na mbica iria ciratũeka atĩ nĩ cia mũtumia orĩa amũthitangĩte.
wa nyina na,24,"Ningĩ nĩ kuonekire atĩ Robert Mwangi, mũthuri wa Mwangi na mũrũ wa nyina na mũtigaireKimani, nĩ aahutirio nĩ ũici ũcio tondũ biacara yake ya njohi nĩ yathũire."
atumia aritũ,23,Linda mama ĩteithagia atumia aritũ.
mũthuri wakwa,23,Ta rora gathandũkũ gakwa ka marũa kuuma kũrĩ mũthuri wakwa.
nĩ atumia,23,Ndigano kĩhiko-inĩ kaingĩ cianjagio nĩ atumia
mũthuri wa,23,"Ningĩ nĩ kuonekire atĩ Robert Mwangi, mũthuri wa Mwangi na mũrũ wa nyina na mũtigaireKimani, nĩ aahutirio nĩ ũici ũcio tondũ biacara yake ya njohi nĩ yathũire."
atumia marĩ,23,Ũtumĩri wa njĩra cia kũĩgirĩrĩria harĩ atumia marĩ na ihu
kĩa atumia arĩa,22,"Gĩcunjĩ kĩa atumia arĩa mahũthagĩra njĩra cia kĩĩrĩu nĩ nini Mandera ĩgacokwo nĩ Wajir,Marsabit, Garissa nayo Embu ĩgĩtongoria"
mũthuri na,22,Maugire mauma erĩ mũthuri na mũtumia
mũkawa inĩ,22,Matunda ma ndimũ mendetwo mũno mũkawa-inĩ
wa mũthuri,20,"He gacunjĩ kangĩ ka ĩmwe harĩ ithatũ, nĩ ũndũ wa mũthuri."
airĩtu na atumia,19,Kũrĩ na bata wa ũhoro mũtabanĩru wĩgiĩ airĩtu na atumia maũndũ-inĩ ma ũgwati
ihooto cia atumia,19,"Kũringana na ũrĩa maũndũ matariĩ, ikundi iria irũagĩrĩra ihooto cia atumia nĩ ciagathĩrĩirio na igateithĩrĩrio nĩ andũ arĩa arĩa maacokirie ciũria ciao, na igĩkĩrĩrũo atĩ no itungatĩre harĩ kũheana ũira na gũcokanĩrĩria ũhoro."
wa arũme na,19,Kũgĩa na ũrũmwe na wendi wa gĩũteti wa kũnyita mbaru mũbango wa gĩthomo ũtarĩ na mũthutũkanio wa arũme na atumia
mũtumia mũritũ,19,Mũtumia mũritũ nĩarabatara ũtungata wa ũgima wa mwĩrĩ
ya mũtumia,19,Tanzania: Thũ ya mũtumia harĩ ũtonga nĩ mũthuri?
mũndũ mũka,19,Anderire ngoro mũndũ mũka.Aharangĩrĩria ngoro mũtumia mwega
ma atumia,18,Makĩria ma atumia ana harĩ ikũmi arĩa marĩ kĩhiko inĩ n ĩmarenda kũnyihia kũgĩa ciana
atumia arĩa marĩ na nda,18,"Nĩguo mũndũ ahote kũmenya kana arĩ na kanca ya nyondo, atumia arĩa marĩ na nda na arĩa marongithia nĩ mabatie gwĩthuthuria nyondo ciao. "
nĩ mũthuri,18,No mwanake angĩanirĩra eragwo nĩ mũthuri wĩna ũrũme
cia arũme,18,Andũ arĩa mareganaga na watho wa gwĩtĩkĩria ngomanio cia arũme kwa arũme na andũ a ndũrĩrĩ ingĩ thĩinĩ wa Taiwan
