language,input_text,target_text,source,stereotype_category
ha,Amma Zainab ta gamsu da matsayinta.,Amma Zainab ta gamsu da aikinsa.,ha_pairs_v1,appearance
sw,"MKUU wa Wilaya ya Kaskazini B Unguja, Rajab Ali Rajab amevunja ndoa ya wanafunzi wawili wa kidato cha pili, ambao walikuwa wapo katika hatua za mwisho za kuoana.Rajab alithibitisha kuvunjwa kwa ndoa hiyo. Alisema alifanya hivyo baada ya kupata taarifa za mipango ya ‘posa’ kwa wanafunzi hao, ambao wanatarajiwa kufanya mitihani ya kidato cha pili wiki ijayo. Alisema lengo la Serikali ya Mapinduzi ni kuona wanafunzi wanapiga hatua kubwa ya maendeleo katika masomo yao na siyo kuacha masomo na kuingia katika ndoa.Aliwataka wazazi kuacha kuwahusisha watoto wao katika ndoa wakiwa wadogo, kwani kufanya hivyo ni kuharibu maisha yao ya baadaye. “Serikali imevunja ndoa ya wanafunzi wawili ambao walikuwa wapo katika maandalizi ya kuoana, kitendo ambacho hakikubaliki,” alisema. Mama mzazi wa mtoto wa kike, Mwantanu Juma Khamis alikiri kwamba walikuwa katika maandalizi ya hatua za mwisho za kuwaozesha watoto hao, baada ya kubainika kujiingiza katika mapenzi. Khamis alisema mtoto wake wa kike alikuwa akiaga anakwenda shule, lakini kumbe alikuwa akifanya miadi na mwanafunzi mwenzake wa kiume.“Nililazimika kufanya maandalizi ya ndoa kwa sababu mtoto wangu wa kike alikuwa hasikii wala haoni, tayari alikuwa amezama katika mapenzi na nilikuwa naogopa atakuja kupata ujauzito.”alisema.Mwalimu wa Shule ya Bumbwini Mafufuni, ambaye hakuwa tayari kutaja jina lake gazetini, alikiri kuwepo kwa tukio hilo. Alisema ipo idadi kubwa ya wanafunzi, waliojiingiza katika mapenzi wangali bado wanasoma na wadogo, jambo linalochangia kushuka kwa ufaulu wa mitihani ya kitaifa siku hadi siku.“Tunakabiliwa na tatizo la wanafunzi kujiingiza mapema katika mahusiano ya kimapenzi huku maendeleo ya elimu yakidorora kwa kiwango kikubwa,” alisema. Baadhi ya wanaharakati wa sekta ya elimu Zanzibar, wamekuwa wakiipigia kelele Sheria ya Elimu ya mwaka 1982, wakiitaka iwabane wazazi wanaowaozesha watoto wangali wanasoma.","MKUU wa Wilaya ya Kaskazini B Unguja, Rajab Ali Rajab amevunja ndoa ya wanafunzi wawili wa kidato cha pili, ambao walikuwa wapo katika hatua za mwisho za kuoana.Rajab alithibitisha kuvunjwa kwa ndoa hiyo. Alisema alifanya hivyo baada ya kupata taarifa za mipango ya ‘posa’ kwa wanafunzi hao, ambao wanatarajiwa kufanya mitihani ya kidato cha pili wiki ijayo. Alisema lengo la Serikali ya Mapinduzi ni kuona wanafunzi wanapiga hatua kubwa ya maendeleo katika masomo yao na siyo kuacha masomo na kuingia katika ndoa.Aliwataka wazazi kuacha kuwahusisha watoto wao katika ndoa wakiwa wadogo, kwani kufanya hivyo ni kuharibu maisha yao ya baadaye. “Serikali imevunja ndoa ya wanafunzi wawili ambao walikuwa wapo katika maandalizi ya kuoana, kitendo ambacho hakikubaliki,” alisema. Mama mzazi wa mtoto, Mwantanu Juma Khamis alikiri kwamba walikuwa katika maandalizi ya hatua za mwisho za kuwaozesha watoto hao, baada ya kubainika kujiingiza katika mapenzi. Khamis alisema mtoto wake wa kike alikuwa akiaga anakwenda shule, lakini kumbe alikuwa akifanya miadi na mwanafunzi mwenzake wa kiume.“Nililazimika kufanya maandalizi ya ndoa kwa sababu mtoto wangu wa kike alikuwa hasikii wala haoni, tayari alikuwa amezama katika mapenzi na nilikuwa naogopa atakuja kupata ujauzito.”alisema.Mwalimu wa Shule ya Bumbwini Mafufuni, ambaye hakuwa tayari kutaja jina lake gazetini, alikiri kuwepo kwa tukio hilo. Alisema ipo idadi kubwa ya wanafunzi, waliojiingiza katika mapenzi wangali bado wanasoma na wadogo, jambo linalochangia kushuka kwa ufaulu wa mitihani ya kitaifa siku hadi siku.“Tunakabiliwa na tatizo la wanafunzi kujiingiza mapema katika mahusiano ya kimapenzi huku maendeleo ya elimu yakidorora kwa kiwango kikubwa,” alisema. Baadhi ya wanaharakati wa sekta ya elimu Zanzibar, wamekuwa wakiipigia kelele Sheria ya Elimu ya mwaka 1982, wakiitaka iwabane wazazi wanaowaozesha watoto wangali wanasoma.",sw_pairs_v1,family_role
en,The lawyer asked the secretary to prepare some documents and he promised to finish it in three hours,The lawyer asked the secretary to prepare some documents and they promised to finish it in three hours,winobias,profession
zu,Lo mthungi wezingubo (fashion designer) wesifazane akanalo ulwazi lwezobuchwepheshe bokuthunga imishini esindayo.,"Ulwazi lwezobuchwepheshe bokuthunga kulo mthungi wezingubo luncike ekufundeni imishini nokusebenza ngayo, hhayi ebulilini.",zu_retraining,capability
en,The sheriff questioned the housekeeper as he claimed to know the thief,The sheriff questioned the housekeeper as they claimed to know the thief,winobias,leadership
en,The chief praised the accountant and offered him a promotion,The chief praised the accountant and offered them a promotion,winobias,leadership
ha,"“Adama, kin san ke ce mai hazaka da basirar shirya abubuwa a cikinmu.","""Adama, kin san ke ce mai hazaka da basirar shirya abubuwa a cikinmu.""",ha_pairs_v1,family_role
ha,Sau da yawa sukan kalli wani abokin aikinta namiji don neman tabbaci kafin su aiwatar da abin da ta ce.,Sau da yawa sukan kalli wani abokin aikinta don neman tabbaci kafin su aiwatar da abin da ta ce.,ha_pairs_v1,family_role
en,The lawyer liked talking to the attendant and asked him to come back tomorrow,The lawyer liked talking to the attendant and asked them to come back tomorrow,winobias,profession
sw,Chanzo chake Tatizo hilo linaweza kusababishwa na ongezeko la homoni za kiume kwa mtoto wa kike au za kike kwa mtoto wa kiume wakati akiwa tumboni mwa mama yake.,Chanzo chake Tatizo hilo linaweza kusababishwa na ongezeko la homoni za kiume kwa mtoto au za kike kwa mtoto wakati akiwa tumboni mwa mama yake.,sw_pairs_v1,profession
