id,language,script,country,region_dialect,source_type,source_ref,collection_date,text,domain,topic,theme,sensitive_characteristic,target_gender,bias_label,stereotype_category,explicitness,sentiment_toward_referent,device,safety_flag,pii_removed,annotator_id,qa_status,notes,has_bias,bias_category,expected_correction,annotator_confidence,annotator_notes
sw-64724,sw,latin,Kenya,kenya,web_public,https://huggingface.co/datasets/Adeptschneider/CiviVox-Swahili-text-corpus-v2.0,2026-03-12,Asali hutibu nguvu za kiume Asali ni tiba karibu kwa kila ugonjwa.,health_wellbeing,health,,gender,unknown,stereotype,capability,explicit,,,safe,false,auto_sw_collect_v1,needs_review,CiviVox domain:health auto-collected,true,stereotype,,0.6,
sw-64725,sw,latin,Kenya,kenya,web_public,https://huggingface.co/datasets/Adeptschneider/CiviVox-Swahili-text-corpus-v2.0,2026-03-12,VICTORIA FOUNDATION YAKABIDHI MSAADA WA KADI ZA BIMA YA AFYA KWA WAKINAMAMA WAJANE 100 MKOANI GEITA.,health_wellbeing,health,,gender,unknown,neutral,,,,,safe,false,auto_sw_collect_v1,needs_review,CiviVox domain:health auto-collected,false,,,0.8,
sw-64726,sw,latin,Kenya,kenya,web_public,https://huggingface.co/datasets/Adeptschneider/CiviVox-Swahili-text-corpus-v2.0,2026-03-12,"Mheshimiwa Naibu Spika, swali la pili; kwa kuwa Serikali imeweka mpango mzuri wa kuwa na dawati la jinsia.",health_wellbeing,health,,gender,unknown,stereotype,leadership,explicit,,,safe,false,auto_sw_collect_v1,needs_review,CiviVox domain:health auto-collected,true,stereotype,,0.6,
sw-64727,sw,latin,Kenya,kenya,web_public,https://huggingface.co/datasets/Adeptschneider/CiviVox-Swahili-text-corpus-v2.0,2026-03-12,"Wakwanza kulia (waliosimama) ni mtoto wa marehemu, Brandina Nyoni Katibu Mkuu wa Wizara ya Afya ambaye kwa sasa amesimamishwa kazi hivi karibu kutokana na sakata la mgomo wa madaktari nchini.",health_wellbeing,health,,gender,unknown,stereotype,leadership,explicit,,,safe,false,auto_sw_collect_v1,needs_review,CiviVox domain:health auto-collected,true,stereotype,,0.6,
sw-64728,sw,latin,Kenya,kenya,web_public,https://huggingface.co/datasets/Adeptschneider/CiviVox-Swahili-text-corpus-v2.0,2026-03-12,"Ni katika kutambua uzito wa dharura itokanayo na magonjwa ya milipuko, MwenyeKiti wa Jopo Kikwete amesema Jopo limependekeza pia kwamba kwanza, kuanzishwe Baraza la Ngazi ya Juu Kuhusu Majanga ya Dharura ya Afya ya Jamii, na pili, kuitishwa kwa Mkutano wa Ngazi ya Juu kuhusu Majanga ya Kiafya mwaka 2018.",health_wellbeing,health,,gender,unknown,stereotype,leadership,explicit,,,safe,false,auto_sw_collect_v1,needs_review,CiviVox domain:health auto-collected,true,stereotype,,0.6,
sw-64729,sw,latin,Kenya,kenya,web_public,https://huggingface.co/datasets/Adeptschneider/CiviVox-Swahili-text-corpus-v2.0,2026-03-12,Balozi Seif na Mfanyabiashara Said Bopar wakikamilisha utoaji wa Vifaa mbali mbali kwa ajili ya Hospitali ya Wete akiwa katika ziara ya siku Tatu Kisiwani Pemba.,health_wellbeing,health,,gender,unknown,stereotype,profession,explicit,,,safe,false,auto_sw_collect_v1,needs_review,CiviVox domain:health auto-collected,true,stereotype,,0.6,
sw-64730,sw,latin,Kenya,kenya,web_public,https://huggingface.co/datasets/Adeptschneider/CiviVox-Swahili-text-corpus-v2.0,2026-03-12,Kazi ya Ufuatiliaji wa Uwajibikaji wa Jamii katika Halmashauri ya Wilaya ya Mpwapwa imeratibiwa na kusimamiwa na Shirika lisilo la kiserikali la Sikika linalofanya kazi zake katika misingi ya ushawishi na utetezi juu ya utawala bora katika sekta ya afya.,health_wellbeing,health,,gender,unknown,neutral,,,,,safe,false,auto_sw_collect_v1,needs_review,CiviVox domain:health auto-collected,false,,,0.6,
sw-64731,sw,latin,Kenya,kenya,web_public,https://huggingface.co/datasets/Adeptschneider/CiviVox-Swahili-text-corpus-v2.0,2026-03-12,"” Watarudishwa kwenye utaratibu wa matibabu chini ya muongozo wa Wizara ya Afya kwenye hospitali walikotoka, kwa vile mradi huo wa utafiti umemaliza kazi yake Machi 31, 2016.",health_wellbeing,health,,gender,unknown,neutral,,,,,safe,false,auto_sw_collect_v1,needs_review,CiviVox domain:health auto-collected,false,,,0.6,
sw-64732,sw,latin,Kenya,kenya,web_public,https://huggingface.co/datasets/Adeptschneider/CiviVox-Swahili-text-corpus-v2.0,2026-03-12,"Mkuu wa Chuo Kikuu cha Sokoine cha Kilimo SUA, Jaji mstaafu Joseph Sinde Warioba ametunuku Shahada mbalimbali kwa wahitimu 2695 huku zaidi ya wahitimu 50 wakipata shahada ya Udaktari wa Falsafa katika Fani mbalimbali.",health_wellbeing,health,,gender,unknown,stereotype,profession,explicit,,,safe,false,auto_sw_collect_v1,needs_review,CiviVox domain:health auto-collected,true,stereotype,,0.6,
sw-64733,sw,latin,Kenya,kenya,web_public,https://huggingface.co/datasets/Adeptschneider/CiviVox-Swahili-text-corpus-v2.0,2026-03-12,Mhandisi huyo (ambaye ni raia wa Marekani) alishangazwa na kujituma kwa daktari huyo kijana.,health_wellbeing,health,,gender,unknown,neutral,,,,,safe,false,auto_sw_collect_v1,needs_review,CiviVox domain:health auto-collected,false,,,0.8,
