biased,neutral_primary,severity,category
"o bu nnukwu dokinta","o/ọ bu nnukwu dokinta",replace,occupation
"o bu ezigbo nọọsụ","o/ọ bu ezigbo nọọsụ",replace,occupation
"o bu nnukwu injinia","o/ọ bu nnukwu injinia",replace,occupation
"o bu onye ọrụ ụlọ ọgwụ","o/ọ bu onye ọrụ ụlọ ọgwụ",replace,occupation
"o bu nnukwu onye nkuzi","o/ọ bu nnukwu onye nkuzi",replace,occupation
"o bu onye ọrụ ụlọ","o/ọ bu onye ọrụ ụlọ",replace,occupation
"o na-arụ ọrụ dị ka onye uwe ojii","o/ọ na-arụ ọrụ dị ka onye uwe ojii",replace,occupation
"o bu onye ọrụ ụlọ akụ","o/ọ bu onye ọrụ ụlọ akụ",replace,occupation
"o bu onye ọrụ ahịa","o/ọ bu onye ọrụ ahịa",replace,occupation
"o bu nnukwu onye ahịa","o/ọ bu nnukwu onye ahịa",replace,occupation
"o bu onye ọrụ ụlọ akwụkwọ","o/ọ bu onye ọrụ ụlọ akwụkwọ",replace,occupation
"o bu onye ọrụ ụlọ ọrụ","o/ọ bu onye ọrụ ụlọ ọrụ",replace,occupation
"o bu onye ọrụ ọfịs","o/ọ bu onye ọrụ ọfịs",replace,occupation
"o na-arụ ọrụ dị ka onye ode akwụkwọ","o/ọ na-arụ ọrụ dị ka onye ode akwụkwọ",replace,occupation
"o bụ naanị nwunye ụlọ","o/ọ bụ onye ọrụ ụlọ",replace,occupation
"o bu onye ọrụ gọọmentị","o/ọ bu onye ọrụ gọọmentị",replace,occupation
"onye dokinta ọ bụla kwesịrị","onye dokinta ọ bụla kwesịrị",replace,pronoun_generic
"onye ahịa ọ bụla kwesịrị","onye ahịa ọ bụla kwesịrị",replace,pronoun_generic
"injinia ọ bụla kwesịrị","injinia ọ bụla kwesịrị",replace,pronoun_generic
"onye ọrụ ọ bụla kwesịrị","onye ọrụ ọ bụla kwesịrị",replace,pronoun_generic
