language,biased,neutral_primary,neutral_alternatives,tags,pos,scope,register,severity,bias_label,stereotype_category,explicitness,ngeli,number,requires_agreement,agreement_notes,patterns,constraints,avoid_when,example_biased,example_neutral
ki,mũndũ mũrũme,mũndũ,,gender|pronoun,noun,general,formal,replace,stereotype,profession,explicit,,sg,false,,"\bmũrũme\b",,,Mũndũ mũrũme nĩarĩ mũrutani.,Mũndũ nĩarĩ mũrutani.
ki,mũndũ wa mũirĩtu,mũndũ,,gender|pronoun,noun,general,formal,replace,stereotype,profession,explicit,,sg,false,,"\bmũirĩtu\b",,,Mũndũ wa mũirĩtu nĩarĩ mũrutani.,Mũndũ nĩarĩ mũrutani.
ki,mũrũme,mũndũ,,gender|pronoun,noun,general,formal,replace,stereotype,profession,explicit,,sg,false,,,,,Mũrũme ũcio nĩ mũrutani.,Mũndũ ũcio nĩ mũrutani.
ki,mũirĩtu,mũndũ,,gender|pronoun,noun,general,formal,replace,stereotype,profession,explicit,,sg,false,,,,,Mũirĩtu ũcio nĩ mũrutani.,Mũndũ ũcio nĩ mũrutani.
ki,mũthuuri,mũndũ mũkũrũ,mũndũ,gender|age,noun,general,formal,replace,stereotype,profession,explicit,,sg,false,,,,,Mũthuuri ũcio nĩ mũgima.,Mũndũ mũkũrũ ũcio nĩ mũgima.
ki,mũtumia,mũndũ mũkũrũ,mũndũ,gender|age,noun,general,formal,replace,stereotype,profession,explicit,,sg,false,,,,,Mũtumia ũcio nĩ mũgima.,Mũndũ mũkũrũ ũcio nĩ mũgima.
ki,airĩtu,andũ,andũ a rũgendo,gender|pronoun,noun,group,formal,replace,stereotype,profession,explicit,,pl,false,,"\bairĩtu\b",,Avoid when referring to specific named group,Airĩtu maathĩte gũkũria.,Andũ maathĩte gũkũria.
ki,arũme,andũ,andũ a rũgendo,gender|pronoun,noun,group,formal,replace,stereotype,profession,explicit,,pl,false,,"\barũme\b",,Avoid when referring to specific named group,Arũme marĩ kũraya.,Andũ marĩ kũraya.
ki,mũrutani wa arũme,mũrutani,,gender|occupation,noun,education,formal,replace,stereotype,profession,explicit,,sg,false,,"wa arũme",,,Mũrutani wa arũme nĩatũruta.,Mũrutani nĩatũruta.
ki,mũrutani wa airĩtu,mũrutani,,gender|occupation,noun,education,formal,replace,stereotype,profession,explicit,,sg,false,,"wa airĩtu",,,Mũrutani wa airĩtu nĩatũruta.,Mũrutani nĩatũruta.
ki,mũrũgamĩrĩri wa arũme,mũrũgamĩrĩri,mũtongoria,gender|role-title,phrase,corporate,formal,replace,stereotype,profession,explicit,,sg,false,,"wa arũme",,,Mũrũgamĩrĩri wa arũme nĩatũruta wĩra mwega.,Mũrũgamĩrĩri nĩatũruta wĩra mwega.
ki,mũrũgamĩrĩri wa airĩtu,mũrũgamĩrĩri,mũtongoria,gender|role-title,phrase,corporate,formal,replace,stereotype,profession,explicit,,sg,false,,"wa airĩtu",,,Mũrũgamĩrĩri wa airĩtu nĩatũruta wĩra mwega.,Mũrũgamĩrĩri nĩatũruta wĩra mwega.
ki,mũthĩnjĩri-ngĩ wa arũme,mũthĩnjĩri-ngĩ,mũnene,gender|role-title,phrase,religious,formal,replace,stereotype,profession,explicit,,sg,false,,"wa arũme",,,Mũthĩnjĩri-ngĩ wa arũme nĩagĩĩte na ciugo nyingĩ.,Mũthĩnjĩri-ngĩ nĩagĩĩte na ciugo nyingĩ.
ki,mũthĩnjĩri-ngĩ wa airĩtu,mũthĩnjĩri-ngĩ,mũnene,gender|role-title,phrase,religious,formal,replace,stereotype,profession,explicit,,sg,false,,"wa airĩtu",,,Mũthĩnjĩri-ngĩ wa airĩtu nĩagĩĩte na ciugo nyingĩ.,Mũthĩnjĩri-ngĩ nĩagĩĩte na ciugo nyingĩ.
