biased_term,neutral_primary,bias_category,stereotype_category,explicitness,severity,confidence,reason,source_sentence
mũthĩnjĩri wa Mũrungu,mũrutani wa Mũrungu / mũndũ-wa-Ngai,occupation,profession,implicit,warn,medium,"The term 'mũthĩnjĩri' (priest) is historically male-default in Kikuyu religious contexts, though the text does not explicitly exclude women.",Nake Melikisedeki mũthamaki wa Salemu akĩrehe mĩgate na ndibei. We aarĩ mũthĩnjĩri wa Mũrungu Ũrĩa-ũrĩ-Igũrũ-Mũno.
mũrũgamĩrĩri wa bũrũri,mũrũgamĩrĩri / mũtongoria bũrũri,occupation,leadership,implicit,warn,medium,Leadership and administrative roles ('mũrũgamĩrĩri') are presented with male default in this narrative context.,"Ningĩ agĩtũma akuuo na ngaari yake ya ita, arĩ mũndũ wa keerĩ harĩ we wathani-inĩ, nao andũ magĩthiĩ makĩanagĩrĩra marĩ mbere yake atĩrĩ, “Eherai njĩra-inĩ!” Nĩ ũndũ ũcio Firaũni agĩtua Jusufu mũrũgam"
mũthĩnjĩri-ngai wa Midiani,mũrutani wa Ngai / mũndũ-wa-Ngai wa Midiani,occupation,profession,implicit,warn,high,Religious leadership roles are consistently marked with male-default terminology without inclusive language.,"Na rĩrĩ, Musa nĩ kũrĩithia arĩithagia rũũru rwa mbũri rwa mũthoni-we Jethero, mũthĩnjĩri-ngai wa Midiani, nake agĩtongoria rũũru rũu rwa mbũri mwena ũũrĩa ũngĩ wa werũ kũraya ma, na agĩkinya Horebu, k"
mũthĩnjĩri ngai,mũrutani wa Ngai / mũndũ-wa-Ngai,occupation,profession,implicit,warn,high,Religious priestly roles remain consistently male-default across the narrative without gender-inclusive language.,"Na rĩrĩ, Jethero, ũrĩa warĩ mũthĩnjĩri ngai wa Midiani na mũthoni-we wa Musa, akĩigua maũndũ mothe marĩa Ngai eekĩire Musa na andũ ake a Isiraeli, na ũrĩa Jehova aarutire andũ a Isiraeli kuuma bũrũri "
Mũthĩnjĩri-Ngai,Mũrutani wa Ngai / Mũndũ-wa-Ngai,occupation,profession,implicit,warn,high,Repeated use of male-default priest terminology throughout ritual passages without acknowledging female religious practitioners.,Ningĩ mũthĩnjĩri-Ngai ũcio nĩakoya thakame ĩmwe ahake hĩa cia kĩgongona kĩa ũbani ũrĩa mũnungi wega kĩrĩa kĩrĩ mbere ya Jehova kũu Hema-inĩ-ya-Gũtũnganwo. Thakame ya ndegwa ĩyo ĩrĩa ĩgaatigara nĩakamĩ
mũthĩnjĩri-Ngai ciothe,batari ba Ngai / andũ-a-Ngai othe,occupation,profession,implicit,warn,high,Use of singular male-default form 'mũthĩnjĩri' even when referring collectively to all priests suggests male-as-default.,"Ũguo nĩguo mũthĩnjĩri-Ngai akaahoroheria mũndũ ũcio rĩĩhia o rĩothe rĩa macio angĩkorwo ekĩte, nake nĩakarekerwo. Matigari ma iruta rĩu magaatuĩka ma mũthĩnjĩri-Ngai, o ta ũrĩa gwĩkagwo hĩndĩ ya iruta"
mwene nyũmba ĩyo,mwene/mwarĩ wa nyũmba ĩyo / mũkũũrangi wa nyũmba,pronoun_assumption,family_role,implicit,warn,medium,Homeowner assumed to be male despite context involving household inspection that could apply to any household head regardless of gender.,"mwene nyũmba ĩyo no nginya athiĩ akeere mũthĩnjĩri-Ngai atĩrĩ, ‘Nĩnyonete kĩndũ kĩhaana ta ũgumu thĩinĩ wa nyũmba yakwa.’"
mũruti wa wĩra / mũndũ ũrarĩrĩire,mũruti wa wĩra / mũndũ ũrĩ na ũhoro,pronoun_assumption,profession,implicit,warn,medium,"The use of 'mũndũ' (person, implicitly male) for hired workers or servants defaults to male, marginalizing women workers.",Mũkaamũtua ta mũruti wa wĩra wa mũcaara kana ta mũndũ ũrarĩrĩire kwanyu; mũndũ ũcio akaamũrutĩra wĩra nginya Mwaka wa Jubilii.
mũtongoria na andũ a mũhĩrĩga,mũtongoria na andũ a mũhĩrĩga,pronoun_assumption,leadership,implicit,warn,high,Leadership roles ('mũtongoria') default to male and assume men hold family/clan leadership positions.,"Nĩ ũndũ ũcio andũ a Isiraeli magĩĩka maũndũ mothe marĩa Jehova aathĩte Musa, na tondũ ũcio maambire hema harĩa bendera ciao ciarĩ, na ũguo noguo moimagarire, o mũtongoria na andũ a mũhĩrĩga wake na ny"
mũthĩnjĩri-Ngai / Eleazaru,mwandiki wa Ngai / mũrutani wa Ngai,occupation,profession,implicit,warn,high,The term 'mũthĩnjĩri-Ngai' (priest) is male-default; Eleazaru's role exemplifies male-only religious authority.,"Nĩ ũndũ ũcio Eleazaru ũrĩa mũthĩnjĩri-Ngai akĩoya ngĩo icio cia gĩcango ciarehetwo nĩ andũ acio maacinĩtwo, nake agĩciturithia ituĩke cia kũhumbĩra kĩgongona,"
