language,biased,neutral_primary,neutral_alternatives,tags,pos,scope,register,severity,bias_label,stereotype_category,explicitness,ngeli,number,requires_agreement,agreement_notes,patterns,constraints,avoid_when,example_biased,example_neutral
ki,mũrũme,mũndũ,,gender,noun,general,formal,replace,stereotype,gender,explicit,1/2,sg,false,,,,,mũrũme,mũndũ
ki,mũtumia,mũndũ,,gender,noun,general,formal,replace,stereotype,gender,explicit,1/2,sg,false,,,,,mũtumia,mũndũ
ki,arũme,andũ,,gender,noun,general,formal,replace,stereotype,gender,explicit,1/2,pl,false,,,,,arũme,andũ
ki,atumia,andũ,,gender,noun,general,formal,replace,stereotype,gender,explicit,1/2,pl,false,,,,,atumia,andũ
ki,mũrũme nĩ wa gũcokia ciana,mũndũ nĩ wa gũcokia ciana,,gender|care_work,phrase,general,formal,replace,stereotype,care_work,explicit,1/2,sg,false,,,,,mũrũme nĩ wa gũcokia ciana,mũndũ nĩ wa gũcokia ciana
ki,mũrũme ndangĩcokia ciana,mũndũ ndangĩcokia ciana,,gender|care_work,phrase,general,formal,warn,stereotype,care_work,explicit,1/2,sg,false,,,,,mũrũme ndangĩcokia ciana,mũndũ ndangĩcokia ciana
ki,mũrũme nĩ wa wĩra mũnene,mũndũ nĩ wa wĩra mũnene,,gender|labor,phrase,general,formal,replace,stereotype,labor,explicit,1/2,sg,false,,,,,mũrũme nĩ wa wĩra mũnene,mũndũ nĩ wa wĩra mũnene
ki,mũrũme nĩ wa wĩra mũnini,mũndũ nĩ wa wĩra mũnini,,gender|labor,phrase,general,formal,warn,stereotype,labor,explicit,1/2,sg,false,,,,,mũrũme nĩ wa wĩra mũnini,mũndũ nĩ wa wĩra mũnini
ki,mũrũme ndangĩhota wĩra,mũndũ ndangĩhota wĩra,,gender|ability,phrase,general,formal,warn,stereotype,ability,explicit,1/2,sg,false,,,,,mũrũme ndangĩhota wĩra,mũndũ ndangĩhota wĩra
ki,mũrũme nĩ wa gũtũmwo mbere,mũndũ nĩ wa gũtũmwo mbere,,gender|leadership,phrase,general,formal,replace,stereotype,leadership,explicit,1/2,sg,false,,,,,mũrũme nĩ wa gũtũmwo mbere,mũndũ nĩ wa gũtũmwo mbere
ki,mũrũme ndangĩtũmwo mbere,mũndũ ndangĩtũmwo mbere,,gender|leadership,phrase,general,formal,warn,stereotype,leadership,explicit,1/2,sg,false,,,,,mũrũme ndangĩtũmwo mbere,mũndũ ndangĩtũmwo mbere
ki,mũrũme nĩ wa kũigua mũno,mũndũ nĩ wa kũigua mũno,,gender|emotion,phrase,general,formal,warn,stereotype,emotion,explicit,1/2,sg,false,,,,,mũrũme nĩ wa kũigua mũno,mũndũ nĩ wa kũigua mũno
ki,mũrũme ndangĩigua,mũndũ ndangĩigua,,gender|emotion,phrase,general,formal,warn,stereotype,emotion,explicit,1/2,sg,false,,,,,mũrũme ndangĩigua,mũndũ ndangĩigua
ki,mũrũme nĩ mũhũũri,mũndũ nĩ mũhũũri,,gender|behavior,phrase,general,formal,warn,stereotype,behavior,explicit,1/2,sg,false,,,,,mũrũme nĩ mũhũũri,mũndũ nĩ mũhũũri
ki,mũrũme nĩ mũgũrũki,mũndũ nĩ mũgũrũki,,gender|behavior,phrase,general,formal,warn,stereotype,behavior,explicit,1/2,sg,false,,,,,mũrũme nĩ mũgũrũki,mũndũ nĩ mũgũrũki
ki,mũrũme nĩ mũnyamũ,mũndũ nĩ mũnyamũ,,gender|character,phrase,general,formal,warn,stereotype,character,explicit,1/2,sg,false,,,,,mũrũme nĩ mũnyamũ,mũndũ nĩ mũnyamũ
ki,mũrũme nĩ mũndũ mũũru,mũndũ nĩ mũndũ mũũru,,gender|character,phrase,general,formal,warn,stereotype,character,explicit,1/2,sg,false,,,,,mũrũme nĩ mũndũ mũũru,mũndũ nĩ mũndũ mũũru
ki,mũrũme nĩ wa kũrĩa mbere,mũndũ nĩ wa kũrĩa mbere,,gender|customs,phrase,general,formal,replace,stereotype,customs,explicit,1/2,sg,false,,,,,mũrũme nĩ wa kũrĩa mbere,mũndũ nĩ wa kũrĩa mbere
ki,mũrũme nĩ wa gũtũũra thĩ,mũndũ nĩ wa gũtũũra thĩ,,gender|customs,phrase,general,formal,warn,stereotype,customs,explicit,1/2,sg,false,,,,,mũrũme nĩ wa gũtũũra thĩ,mũndũ nĩ wa gũtũũra thĩ
ki,mũrũme nĩ wa kũhoya,mũndũ nĩ wa kũhoya,,gender|beliefs,phrase,general,formal,warn,stereotype,beliefs,explicit,1/2,sg,false,,,,,mũrũme nĩ wa kũhoya,mũndũ nĩ wa kũhoya
ki,mũrũme nĩ wa gũthũkia,mũndũ nĩ wa gũthũkia,,gender|labor,phrase,general,formal,replace,stereotype,labor,explicit,1/2,sg,false,,,,,mũrũme nĩ wa gũthũkia,mũndũ nĩ wa gũthũkia
ki,mũrũme nĩ wa gũtungata,mũndũ nĩ wa gũtungata,,gender|service,phrase,general,formal,replace,stereotype,service,explicit,1/2,sg,false,,,,,mũrũme nĩ wa gũtungata,mũndũ nĩ wa gũtungata
ki,mũrũme nĩ wa gũthomithia ciana,mũndũ nĩ wa gũthomithia ciana,,gender|education,phrase,general,formal,replace,stereotype,education,explicit,1/2,sg,false,,,,,mũrũme nĩ wa gũthomithia ciana,mũndũ nĩ wa gũthomithia ciana
ki,mũrũme ndangĩthomithia ciana,mũndũ ndangĩthomithia ciana,,gender|education,phrase,general,formal,warn,stereotype,education,explicit,1/2,sg,false,,,,,mũrũme ndangĩthomithia ciana,mũndũ ndangĩthomithia ciana
ki,mũrũme nĩ wa nyũmba,mũndũ nĩ wa nyũmba,,gender|family_role,phrase,general,formal,replace,stereotype,family_role,explicit,1/2,sg,false,,,,,mũrũme nĩ wa nyũmba,mũndũ nĩ wa nyũmba
ki,mũrũme wa ciana,mũndũ wa ciana,,gender|care_work,phrase,general,formal,replace,stereotype,care_work,explicit,1/2,sg,false,,,,,mũrũme wa ciana,mũndũ wa ciana
ki,mũrũme nĩ wa ũmenyo,mũndũ nĩ wa ũmenyo,,gender|age,phrase,general,formal,replace,stereotype,age,explicit,1/2,sg,false,,,,,mũrũme nĩ wa ũmenyo,mũndũ nĩ wa ũmenyo
ki,mũrũme ndangĩmenya,mũndũ ndangĩmenya,,gender|ability,phrase,general,formal,warn,stereotype,ability,explicit,1/2,sg,false,,,,,mũrũme ndangĩmenya,mũndũ ndangĩmenya
ki,mũrũme nĩ wa gũkũũra,mũndũ nĩ wa gũkũũra,,gender|customs,phrase,general,formal,warn,stereotype,customs,explicit,1/2,sg,false,,,,,mũrũme nĩ wa gũkũũra,mũndũ nĩ wa gũkũũra
ki,mũrũme nĩ wa gũikara thĩ,mũndũ nĩ wa gũikara thĩ,,gender|customs,phrase,general,formal,warn,stereotype,customs,explicit,1/2,sg,false,,,,,mũrũme nĩ wa gũikara thĩ,mũndũ nĩ wa gũikara thĩ
