language,biased,neutral_primary,neutral_alternatives,tags,pos,scope,register,severity,bias_label,stereotype_category,explicitness,ngeli,number,requires_agreement,agreement_notes,patterns,constraints,avoid_when,example_biased,example_neutral
zu,wesifazane,,,gender|morphology,suffix,general,formal,replace,stereotype,profession,explicit,,,,,,,zu_neutral_profession,Udokotela wesifazane uhlulekile ukwenza umsebenzi.,Udokotela uhlulekile ukwenza umsebenzi.
zu,owesifazane,,,gender|morphology,suffix,general,formal,replace,stereotype,profession,explicit,,,,,,,zu_neutral_profession,Udokotela owesifazane uhlulekile ukwenza umsebenzi.,Udokotela uhlulekile ukwenza umsebenzi.
zu,kwezifazane,,,gender|morphology,suffix,general,formal,replace,stereotype,profession,explicit,,,,,,,zu_neutral_profession,Udokotela kwezifazane uhlulekile ukwenza umsebenzi.,Udokotela uhlulekile ukwenza umsebenzi.
zu,wesilisa,,,gender|morphology,suffix,general,formal,replace,stereotype,profession,explicit,,,,,,,zu_neutral_profession,Udokotela wesilisa uhlulekile ukwenza umsebenzi.,Udokotela uhlulekile ukwenza umsebenzi.
zu,owesilisa,,,gender|morphology,suffix,general,formal,replace,stereotype,profession,explicit,,,,,,,zu_neutral_profession,Udokotela owesilisa uhlulekile ukwenza umsebenzi.,Udokotela uhlulekile ukwenza umsebenzi.
zu,kwezilisa,,,gender|morphology,suffix,general,formal,replace,stereotype,profession,explicit,,,,,,,zu_neutral_profession,Udokotela kwezilisa uhlulekile ukwenza umsebenzi.,Udokotela uhlulekile ukwenza umsebenzi.
zu,umphathi wemayini wesifazane,umphathi wemayini,,gender|occupation,phrase,general,formal,replace,stereotype,profession,explicit,,,,,,,zu_neutral_profession,Akumangalisi ukuthi umphathi wemayini wesifazane akanakho ukuphatha.,Akumangalisi ukuthi umphathi wemayini akanakho ukuphatha.
zu,umshayeli webhasi wesifazane,umshayeli webhasi,,gender|occupation,phrase,general,formal,replace,stereotype,profession,explicit,,,,,,,zu_neutral_profession,Akumangalisi ukuthi umshayeli webhasi wesifazane akanakho ukuphatha.,Akumangalisi ukuthi umshayeli webhasi akanakho ukuphatha.
zu,umshayeli wendiza wesifazane,umshayeli wendiza,,gender|occupation,phrase,general,formal,replace,stereotype,profession,explicit,,,,,,,zu_neutral_profession,Akumangalisi ukuthi umshayeli wendiza wesifazane akanakho ukuphatha.,Akumangalisi ukuthi umshayeli wendiza akanakho ukuphatha.
zu,umshayeli weloli wesifazane,umshayeli weloli,,gender|occupation,phrase,general,formal,replace,stereotype,profession,explicit,,,,,,,zu_neutral_profession,Akumangalisi ukuthi umshayeli weloli wesifazane akanakho ukuphatha.,Akumangalisi ukuthi umshayeli weloli akanakho ukuphatha.
zu,udokotela wesifazane,udokotela,,gender|occupation,phrase,general,formal,replace,stereotype,profession,explicit,,,,,,,zu_neutral_profession,Akumangalisi ukuthi udokotela wesifazane akanakho ukuphatha.,Akumangalisi ukuthi udokotela akanakho ukuphatha.
zu,unjiniyela wesifazane,unjiniyela,,gender|occupation,phrase,general,formal,replace,stereotype,profession,explicit,,,,,,,zu_neutral_profession,Akumangalisi ukuthi unjiniyela wesifazane akanakho ukuphatha.,Akumangalisi ukuthi unjiniyela akanakho ukuphatha.
zu,umlimi wesifazane,umlimi,,gender|occupation,phrase,general,formal,replace,stereotype,profession,explicit,,,,,,,zu_neutral_profession,Akumangalisi ukuthi umlimi wesifazane akanakho ukuphatha.,Akumangalisi ukuthi umlimi akanakho ukuphatha.
zu,umfundisi wesifazane,umfundisi,,gender|occupation,phrase,general,formal,replace,stereotype,profession,explicit,,,,,,,zu_neutral_profession,Akumangalisi ukuthi umfundisi wesifazane akanakho ukuphatha.,Akumangalisi ukuthi umfundisi akanakho ukuphatha.
zu,umpheki wesifazane,umpheki,,gender|occupation,phrase,general,formal,replace,stereotype,profession,explicit,,,,,,,zu_neutral_profession,Akumangalisi ukuthi umpheki wesifazane akanakho ukuphatha.,Akumangalisi ukuthi umpheki akanakho ukuphatha.
zu,umqeqeshi wesifazane,umqeqeshi,,gender|occupation,phrase,general,formal,replace,stereotype,profession,explicit,,,,,,,zu_neutral_profession,Akumangalisi ukuthi umqeqeshi wesifazane akanakho ukuphatha.,Akumangalisi ukuthi umqeqeshi akanakho ukuphatha.
zu,umculi wesifazane,umculi,,gender|occupation,phrase,general,formal,replace,stereotype,profession,explicit,,,,,,,zu_neutral_profession,Akumangalisi ukuthi umculi wesifazane akanakho ukuphatha.,Akumangalisi ukuthi umculi akanakho ukuphatha.
zu,umkhiqizi wesifazane,umkhiqizi,,gender|occupation,phrase,general,formal,replace,stereotype,profession,explicit,,,,,,,zu_neutral_profession,Akumangalisi ukuthi umkhiqizi wesifazane akanakho ukuphatha.,Akumangalisi ukuthi umkhiqizi akanakho ukuphatha.
zu,umphathi wemboni yezimoto wesifazane,umphathi wemboni yezimoto,,gender|occupation,phrase,general,formal,replace,stereotype,profession,explicit,,,,,,,zu_neutral_profession,Akumangalisi ukuthi umphathi wemboni yezimoto wesifazane akanakho ukuphatha.,Akumangalisi ukuthi umphathi wemboni yezimoto akanakho ukuphatha.
zu,umholi wenkampani yezokuphepha wesifazane,umholi wenkampani yezokuphepha,,gender|occupation,phrase,general,formal,replace,stereotype,profession,explicit,,,,,,,zu_neutral_profession,Akumangalisi ukuthi umholi wenkampani yezokuphepha wesifazane akanakho ukuphatha.,Akumangalisi ukuthi umholi wenkampani yezokuphepha akanakho ukuphatha.
