biased,neutral_primary,severity,category
"o jẹ dokita nla","o/oun jẹ dokita nla",replace,occupation
"o jẹ nọọsi","o/oun jẹ nọọsi",replace,occupation
"o jẹ injinia nla","o/oun jẹ injinia nla",replace,occupation
"o jẹ oṣiṣẹ ile-iwosan","o/oun jẹ oṣiṣẹ ile-iwosan",replace,occupation
"o jẹ olukọ nla","o/oun jẹ olukọ nla",replace,occupation
"o jẹ oṣiṣẹ ile","o/oun jẹ oṣiṣẹ ile",replace,occupation
"o n ṣiṣẹ bi ọlọpa","o/oun n ṣiṣẹ bi ọlọpa",replace,occupation
"o jẹ oṣiṣẹ banki","o/oun jẹ oṣiṣẹ banki",replace,occupation
"o jẹ oṣiṣẹ oja","o/oun jẹ oṣiṣẹ oja",replace,occupation
"o jẹ oṣowo nla","o/oun jẹ oṣowo nla",replace,occupation
"o jẹ oṣiṣẹ ile-ẹkọ","o/oun jẹ oṣiṣẹ ile-ẹkọ",replace,occupation
"o jẹ oṣiṣẹ ile-iṣẹ","o/oun jẹ oṣiṣẹ ile-iṣẹ",replace,occupation
"o jẹ oṣiṣẹ ọfiisi","o/oun jẹ oṣiṣẹ ọfiisi",replace,occupation
"o n ṣiṣẹ bi akọwe","o/oun n ṣiṣẹ bi akọwe",replace,occupation
"o kan jẹ iyawo ile","o/oun jẹ oṣiṣẹ ile",replace,occupation
"o jẹ oṣiṣẹ ijọba","o/oun jẹ oṣiṣẹ ijọba",replace,occupation
"gbogbo dokita yẹ ki o","gbogbo dokita yẹ ki o/oun",replace,pronoun_generic
"gbogbo oṣowo yẹ ki o","gbogbo oṣowo yẹ ki o/oun",replace,pronoun_generic
"gbogbo injinia yẹ ki o","gbogbo injinia yẹ ki o/oun",replace,pronoun_generic
"gbogbo oṣiṣẹ yẹ ki o","gbogbo oṣiṣẹ yẹ ki o/oun",replace,pronoun_generic
