term,frequency,source,validation_status,category,notes,confidence,reason
matumaini,19,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_19
mawili,19,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_19
mengine,19,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_19
madaktari,18,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_18
mfupi,18,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_18
msimamo,18,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_18
mpaka,18,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_18
mwanasiasa,18,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_18
mafuta,17,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_17
mgogoro,17,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_17
msumbiji,17,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_17
mfalme,17,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_17
mitandao,16,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_16
mahakamani,16,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_16
mweusi,16,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_16
maamuzi,16,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_16
marekebisho,16,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_16
mashirika,15,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_15
matumizi,15,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_15
marehemu,15,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_15
mawakili,15,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_15
mohammed,15,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_15
matamshi,14,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_14
mvutano,14,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_14
mpinzani,14,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_14
mfumo,14,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_14
mageuzi,14,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_14
majadiliano,14,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_14
mjumbe,13,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_13
mmarekani,13,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_13
majukumu,13,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_13
mstaafu,13,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_13
mahojiano,13,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_13
makuu,13,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_13
mbinu,13,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_13
mwinyi,13,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_13
mlipuko,13,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_13
mapendekezo,12,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_12
mtendaji,12,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_12
mchana,12,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_12
