id,language,script,country,region_dialect,source_type,source_ref,collection_date,text,translation,domain,topic,theme,sensitive_characteristic,target_gender,bias_label,stereotype_category,explicitness,bias_severity,sentiment_toward_referent,device,safety_flag,pii_removed,annotator_id,qa_status,approver_id,cohen_kappa,notes,eval_split
SW-NEWS-00001,sw,latin,Kenya,,web_public,swahili_news,2025-12-03,Rais Joseph Kabila wa Congo hatogombea tena urais na kwamba chama chake kimemchagua Emmanuel Ramazani Shadari kuwa mrithi wake na mgombea wa uchaguzi wa urais unaotarajiwa kufanyika mwezi Disemba,,news,mgombea,occupations,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Occupation terms: mgombea,train
SW-NEWS-00002,sw,latin,Kenya,,web_public,swahili_news,2025-12-03,"KULWA MZEE,DAR ES SALAAM Mfanyabiashara , Kigogo wa IPTL, Herbinder Seth anayekabiliwa kesi ya uhujumu uchumi amewalalamikia askari magereza kwa kumzuia kuonana na wakili wake kwa miezi Sita sasa",,news,"wakili,mfanyabiashara,askari",occupations,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,"Occupation terms: wakili, mfanyabiashara, askari",train
SW-NEWS-00003,sw,latin,Kenya,,web_public,swahili_news,2025-12-03,"“Unajua
bibo ni tunda lenye faida kubwa lakini linatelekezwa shambani ambapo
tunatengeneza juisi, jam na mvinyo ambapo kilo moja inauzwa Sh 11,300 kwa
hiyo muuzaji hupata Sh 300,000 kwa mabibo kilo tisa unapoyaongezea thamani, kwa
hiyo mkulima akipata kilo moja  ya korosho anaacha kilo tisa za mabibo
shambani,” amesema",,news,mkulima,occupations,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Occupation terms: mkulima,train
SW-NEWS-00004,sw,latin,Kenya,,web_public,swahili_news,2025-12-03,"Wajumbe wengine ni Brigedia Jenerali mstaafu Aloyce Mwanjile, Bakari Nampenya, Deogratius Pisa, Edward Nduleti, Freddy Manongi, Haruna Masebu, Humphrey Mniaichi, Jumanne Feruzi, Michael Kamazima, Mhandisi Peter Ulanga na Ruzika Mheto",,news,"mhandisi,mstaafu",occupations,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,"Occupation terms: mhandisi, mstaafu",train
SW-NEWS-00005,sw,latin,Kenya,,web_public,swahili_news,2025-12-03,"Li alipata ufadhili binafsi muda mfupi tu baada ya ziara
hiyo ingawa msemaji wa Hunter alikiambia chombo cha habari cha NBC News kuwa
hawakujadili masuala yoyote ya kibiashara katika ziara ile na ufadhili ulikuja
miezi michache baadae",,news,msemaji,occupations,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Occupation terms: msemaji,train
SW-NEWS-00006,sw,latin,Kenya,,web_public,swahili_news,2025-12-03,"Naye daktari wa mifugo ambaye ni mstaafu wa wizara hiyo kitengo cha kuzuia wadudu na magonjwa, Gopray Nsengwa alieleza changamoto kubwa ni magonjwa yanayoenezwa na wadudu na minyoo wakiwemo kupe na mbung’o kuwa ni tatizo katika sekta hiyo",,news,"daktari,mstaafu",occupations,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,"Occupation terms: daktari, mstaafu",train
SW-NEWS-00007,sw,latin,Kenya,,web_public,swahili_news,2025-12-03,"Akitoa ushahidi wa utetezi mbele ya Hakimu Mkazi Mfawidhi, Cyprian Mkeha wa Mahakama ya Hakimu Mkazi Kisutu leo, katika kesi ya dawa za kulevya, inayomkabili mfanyabiashara huyo, daktari huyo amedai Manji anatembea kwenye uzi mwembamba hivyo inabidi ajiangalie sana",,news,"daktari,mfanyabiashara",occupations,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,"Occupation terms: daktari, mfanyabiashara",train
SW-NEWS-00008,sw,latin,Kenya,,web_public,swahili_news,2025-12-03,"Naye mjumbe wa kamati ya utendaji ya Simba, Sullu aliwatoa wasiwasi wanachama hao kwa kuwahakikishia msimu ujao wamejipanga kufanya usajili mzuri ambao utaleta ushindani kwenye ligi, huku akidai kuwa fedha za ujenzi wa uwanja wa Bunju zipo",,news,mjumbe,occupations,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Occupation terms: mjumbe,train
SW-NEWS-00009,sw,latin,Kenya,,web_public,swahili_news,2025-12-03,"Taarifa ya Ofisa Mtendaji Mkuu wa Tullow Oil, Paul Mcdade inasema Mamlaka ya Usimamizi wa Mafuta ikitoa idhini, ambayo wanatarajia kupatikana mapema iwezekanavyo itaongeza mapipa kufikia 2,000 kwa siku, huku mzigo wa kwanza kusafirisha nje ya nchi unatarajiwa katika robo ya tatu ya mwaka huu",,news,mtendaji,occupations,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Occupation terms: mtendaji,train
SW-NEWS-00010,sw,latin,Kenya,,web_public,swahili_news,2025-12-03,Alisema katika Baraza la Mawaziri wanawake ni asilimia 18 wakati naibu mawaziri ni asilimia 33 na upande wa mahakama majaji wanawake wa Mahakama Kuu ni asilimia 30 na Mahakama ya Rufaa ni asilimia 38,,news,majaji,occupations,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Occupation terms: majaji,train
