id,language,script,country,region_dialect,source_type,source_ref,collection_date,text,translation,domain,topic,theme,sensitive_characteristic,target_gender,bias_label,stereotype_category,explicitness,bias_severity,sentiment_toward_referent,device,safety_flag,pii_removed,annotator_id,qa_status,approver_id,cohen_kappa,notes,eval_split
FR-WIKI-0001,fr,latin,France,,web_public,https://fr.wikipedia.org/wiki/Infirmi%C3%A8re_Ratched,2025-11-13,Le personnage a été rendu célèbre par Louise Fletcher lorsqu'elle l'interprète dans l'adaptation cinématographique réalisée par Miloš Forman en 1975,,livelihoods_and_work,infirmière,stereotypes,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Source: fr.wikipedia.org. Article: Infirmière Ratched. Topic: occupations.,train
FR-WIKI-0002,fr,latin,France,,web_public,https://fr.wikipedia.org/wiki/Infirmi%C3%A8re_Ratched,2025-11-13,Son interprétation lui permet d'obtenir l'Oscar de la meilleure actrice lors de la cérémonie de 1976,,livelihoods_and_work,infirmière,stereotypes,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Source: fr.wikipedia.org. Article: Infirmière Ratched. Topic: occupations.,train
FR-WIKI-0003,fr,latin,France,,web_public,https://fr.wikipedia.org/wiki/Infirmi%C3%A8re_Ratched,2025-11-13,L'infirmière Ratched a été nommée 5e meilleur méchant et 2e meilleure méchante de l'histoire du cinéma par l'American Film Institute lors de leur classement intitulé AFI's 100 Years,,livelihoods_and_work,infirmière,stereotypes,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Source: fr.wikipedia.org. Article: Infirmière Ratched. Topic: occupations.,train
FR-WIKI-0004,fr,latin,France,,web_public,https://fr.wikipedia.org/wiki/Infirmi%C3%A8re_Ratched,2025-11-13,"Création
Pour la création du personnage, Ken Kesey s'est inspiré de l'infirmière en chef de l'établissement où il a travaillé",,livelihoods_and_work,infirmière,stereotypes,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Source: fr.wikipedia.org. Article: Infirmière Ratched. Topic: occupations.,train
FR-WIKI-0005,fr,latin,France,,web_public,https://fr.wikipedia.org/wiki/Infirmi%C3%A8re_Ratched,2025-11-13,"Quelques années plus tard, il a revu cette femme dans un aquarium et a réalisé qu'elle était finalement plus petite et plus humaine que dans ses souvenirs",,livelihoods_and_work,infirmière,stereotypes,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Source: fr.wikipedia.org. Article: Infirmière Ratched. Topic: occupations.,train
FR-WIKI-0006,fr,latin,France,,web_public,https://fr.wikipedia.org/wiki/Infirmi%C3%A8re_de_Nuit,2025-11-13,"Night Nurse est une série de bandes dessinées de Marvel Comics publiée au début des années 1970, et a été reprise plus tard pour représenter l'alter ego de l'un de ses personnages, Linda Carter",,livelihoods_and_work,infirmière,stereotypes,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Source: fr.wikipedia.org. Article: Infirmière de Nuit. Topic: occupations.,train
FR-WIKI-0007,fr,latin,France,,web_public,https://fr.wikipedia.org/wiki/Infirmi%C3%A8re_de_Nuit,2025-11-13,Carter était l'un des trois personnages principaux de Night Nurse #1 (couverture datée de novembre 1972),,livelihoods_and_work,infirmière,stereotypes,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Source: fr.wikipedia.org. Article: Infirmière de Nuit. Topic: occupations.,train
FR-WIKI-0008,fr,latin,France,,web_public,https://fr.wikipedia.org/wiki/Infirmi%C3%A8re_de_Nuit,2025-11-13,"Elle était auparavant à la tête d'une autre série Marvel, Linda Carter, Student Nurse, publiée en 1961",,livelihoods_and_work,infirmière,stereotypes,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Source: fr.wikipedia.org. Article: Infirmière de Nuit. Topic: occupations.,train
FR-WIKI-0009,fr,latin,France,,web_public,https://fr.wikipedia.org/wiki/Infirmi%C3%A8re_de_Nuit,2025-11-13,Elle est apparue pour la première fois dans Daredevil #58 (mai 2004) en tant que professionnelle médicale spécialisée dans l'aide aux super-héros blessés,,livelihoods_and_work,infirmière,stereotypes,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Source: fr.wikipedia.org. Article: Infirmière de Nuit. Topic: occupations.,train
FR-WIKI-0010,fr,latin,France,,web_public,https://fr.wikipedia.org/wiki/Infirmi%C3%A8re_de_Nuit,2025-11-13,Rachel McAdams a interprété Christine Palmer dans le film Doctor Strange de Marvel Cinematic Universe (2016),,livelihoods_and_work,infirmière,stereotypes,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Source: fr.wikipedia.org. Article: Infirmière de Nuit. Topic: occupations.,train
FR-WIKI-0011,fr,latin,France,,web_public,https://fr.wikipedia.org/wiki/Infirmi%C3%A8res_pilotes_secouristes_de_l%27air,2025-11-13,"Elles ont été utilisées pendant la Seconde Guerre mondiale, la guerre d'Indochine et la guerre d'Algérie",,livelihoods_and_work,infirmière,stereotypes,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Source: fr.wikipedia.org. Article: Infirmières pilotes secouristes de l'air. Topic: occupations.,train
FR-WIKI-0012,fr,latin,France,,web_public,https://fr.wikipedia.org/wiki/Infirmi%C3%A8res_pilotes_secouristes_de_l%27air,2025-11-13,"Les trois fondatrices obtiennent l'aide et l'appui de l’Aéro-Club de France, qui délivre alors toutes les licences de pilotes en France",,livelihoods_and_work,infirmière,stereotypes,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Source: fr.wikipedia.org. Article: Infirmières pilotes secouristes de l'air. Topic: occupations.,train
FR-WIKI-0013,fr,latin,France,,web_public,https://fr.wikipedia.org/wiki/Infirmi%C3%A8res_pilotes_secouristes_de_l%27air,2025-11-13,"Les membres de l’amicale se classent en deux catégories :
A) des infirmières pilotes qui ont à la fois une formation sanitaire et une pratique suivie du pilotage",,livelihoods_and_work,infirmière,stereotypes,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Source: fr.wikipedia.org. Article: Infirmières pilotes secouristes de l'air. Topic: occupations.,train
FR-WIKI-0014,fr,latin,France,,web_public,https://fr.wikipedia.org/wiki/Infirmi%C3%A8res_pilotes_secouristes_de_l%27air,2025-11-13,Les membres se doivent entre elles une assistance désintéressée,,livelihoods_and_work,infirmière,stereotypes,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Source: fr.wikipedia.org. Article: Infirmières pilotes secouristes de l'air. Topic: occupations.,train
FR-WIKI-0015,fr,latin,France,,web_public,https://fr.wikipedia.org/wiki/Infirmi%C3%A8res_pilotes_secouristes_de_l%27air,2025-11-13,"L’Association leur attribue au fur et à mesure des possibilités une aide matérielle sous forme de vols d’entraînement, cours de pilotage",,livelihoods_and_work,infirmière,stereotypes,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Source: fr.wikipedia.org. Article: Infirmières pilotes secouristes de l'air. Topic: occupations.,train
FR-WIKI-0016,fr,latin,France,,web_public,https://fr.wikipedia.org/wiki/L%27Infirmi%C3%A8re_de_nuit,2025-11-13,"Synopsis
Nicola est dentiste, obsédé sexuel, il multiplie les conquêtes et les maîtresses et au moment où se déroule le film il trompe sa femme avec la plantureuse Zaira",,livelihoods_and_work,infirmière,stereotypes,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Source: fr.wikipedia.org. Article: L'Infirmière de nuit. Topic: occupations.,train
FR-WIKI-0017,fr,latin,France,,web_public,https://fr.wikipedia.org/wiki/L%27Infirmi%C3%A8re_de_nuit,2025-11-13,"Alfredo, un escroc a appris de la bouche de l'oncle Saverio, mourant, que celui-ci a légué toute sa fortune à son neveu Nicola",,livelihoods_and_work,infirmière,stereotypes,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Source: fr.wikipedia.org. Article: L'Infirmière de nuit. Topic: occupations.,train
FR-WIKI-0018,fr,latin,France,,web_public,https://fr.wikipedia.org/wiki/L%27Infirmi%C3%A8re_de_nuit,2025-11-13,Elle consiste en un énorme diamant dissimulé dans la verroterie d'un plafonnier,,livelihoods_and_work,infirmière,stereotypes,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Source: fr.wikipedia.org. Article: L'Infirmière de nuit. Topic: occupations.,train
FR-WIKI-0019,fr,latin,France,,web_public,https://fr.wikipedia.org/wiki/L%27Infirmi%C3%A8re_de_nuit,2025-11-13,"Cachant la mort de l'oncle, Alfredo se fait passer pour lui et se fait héberger chez ses neveux exprimant le désir de terminer sa vie chez eux",,livelihoods_and_work,infirmière,stereotypes,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Source: fr.wikipedia.org. Article: L'Infirmière de nuit. Topic: occupations.,train
FR-WIKI-0020,fr,latin,France,,web_public,https://fr.wikipedia.org/wiki/L%27Infirmi%C3%A8re_de_nuit,2025-11-13,Le couple accepte d'autant plus volontiers qu'il convoite l'héritage,,livelihoods_and_work,infirmière,stereotypes,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Source: fr.wikipedia.org. Article: L'Infirmière de nuit. Topic: occupations.,train
FR-WIKI-0021,fr,latin,France,,web_public,https://fr.wikipedia.org/wiki/Enseignant,2025-11-13,L'enseignant est la personne qui enseigne aux élèves (en primaire et secondaire),,livelihoods_and_work,enseignant,stereotypes,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Source: fr.wikipedia.org. Article: Enseignant. Topic: occupations.,train
FR-WIKI-0022,fr,latin,France,,web_public,https://fr.wikipedia.org/wiki/Enseignant,2025-11-13,"Dans le secondaire, l'ensemble des enseignants sont désignés comme professeurs (professeurs certifiés et professeurs agrégés)",,livelihoods_and_work,enseignant,stereotypes,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Source: fr.wikipedia.org. Article: Enseignant. Topic: occupations.,train
FR-WIKI-0023,fr,latin,France,,web_public,https://fr.wikipedia.org/wiki/Enseignant,2025-11-13,"Le terme « professeur » n'est donc pas réservé à l'enseignement universitaire, mais reste toutefois d'usage réservé dans le cadre de celui-ci",,livelihoods_and_work,enseignant,stereotypes,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Source: fr.wikipedia.org. Article: Enseignant. Topic: occupations.,train
FR-WIKI-0024,fr,latin,France,,web_public,https://fr.wikipedia.org/wiki/Enseignant,2025-11-13,"Lorsque l'organisation de l'ensemble de la scolarité d'un élève est prise en charge par un enseignant employé à titre privé, on le qualifie alors de précepteur",,livelihoods_and_work,enseignant,stereotypes,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Source: fr.wikipedia.org. Article: Enseignant. Topic: occupations.,train
FR-WIKI-0025,fr,latin,France,,web_public,https://fr.wikipedia.org/wiki/Enseignant,2025-11-13,"Pour exercer son métier, le professeur doit posséder une certaine compétence pédagogique généralement acquise par l'expérience ou au cours d'une formation spécialisée",,livelihoods_and_work,enseignant,stereotypes,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Source: fr.wikipedia.org. Article: Enseignant. Topic: occupations.,train
FR-WIKI-0026,fr,latin,France,,web_public,https://fr.wikipedia.org/wiki/Enseignant-chercheur,2025-11-13,Il peut également se voir confier des charges administratives pour lesquelles il peut percevoir une prime pour charges administratives,,livelihoods_and_work,enseignant,stereotypes,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Source: fr.wikipedia.org. Article: Enseignant-chercheur. Topic: occupations.,train
FR-WIKI-0027,fr,latin,France,,web_public,https://fr.wikipedia.org/wiki/Enseignant-chercheur,2025-11-13,Ces tâches administratives ne sont pas assimilables à un travail administratif effectué par d'autres personnels,,livelihoods_and_work,enseignant,stereotypes,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Source: fr.wikipedia.org. Article: Enseignant-chercheur. Topic: occupations.,train
FR-WIKI-0028,fr,latin,France,,web_public,https://fr.wikipedia.org/wiki/Enseignant-chercheur,2025-11-13,"À l'exception des enseignants-chercheurs associés, il s'agit de fonctionnaires",,livelihoods_and_work,enseignant,stereotypes,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Source: fr.wikipedia.org. Article: Enseignant-chercheur. Topic: occupations.,train
FR-WIKI-0029,fr,latin,France,,web_public,https://fr.wikipedia.org/wiki/Enseignant-chercheur,2025-11-13,"À la rentrée 2012, ils sont 56 000 à enseigner dans les établissements publics sous tutelle du Ministère chargé de l'Enseignement supérieur",,livelihoods_and_work,enseignant,stereotypes,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Source: fr.wikipedia.org. Article: Enseignant-chercheur. Topic: occupations.,train
FR-WIKI-0030,fr,latin,France,,web_public,https://fr.wikipedia.org/wiki/Enseignant-chercheur,2025-11-13,"Ils assurent la direction, le conseil, le tutorat et l'orientation des étudiants et contribuent à leur insertion professionnelle",,livelihoods_and_work,enseignant,stereotypes,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Source: fr.wikipedia.org. Article: Enseignant-chercheur. Topic: occupations.,train
FR-WIKI-0031,fr,latin,France,,web_public,https://fr.wikipedia.org/wiki/Enseignant_au_coll%C3%A9gial,2025-11-13,"Le 15 décembre 2005, le gouvernement passe, sous bâillon, la Loi concernant les conditions de travail dans le secteur public",,livelihoods_and_work,enseignant,stereotypes,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Source: fr.wikipedia.org. Article: Enseignant au collégial. Topic: occupations.,train
FR-WIKI-0032,fr,latin,France,,web_public,https://fr.wikipedia.org/wiki/Enseignant_au_coll%C3%A9gial,2025-11-13,"À la suite d'un vote de ses membres, la FAC refuse la convention collective acceptée par les deux autres centrales et se fait imposer ses conditions de travail par la loi spéciale",,livelihoods_and_work,enseignant,stereotypes,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Source: fr.wikipedia.org. Article: Enseignant au collégial. Topic: occupations.,train
FR-WIKI-0033,fr,latin,France,,web_public,https://fr.wikipedia.org/wiki/Enseignant_au_coll%C3%A9gial,2025-11-13,"Le 27 mai 2009, à la suite d'un vote des représentants des 13 syndicats restant en son sein, la FAC est dissoute",,livelihoods_and_work,enseignant,stereotypes,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Source: fr.wikipedia.org. Article: Enseignant au collégial. Topic: occupations.,train
FR-WIKI-0034,fr,latin,France,,web_public,https://fr.wikipedia.org/wiki/Enseignant_au_coll%C3%A9gial,2025-11-13,Les enseignants au secteur technique peuvent superviser des stages étudiants et participer à de multiples activités hors campus afin de créer des liens entre le collège et le milieu,,livelihoods_and_work,enseignant,stereotypes,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Source: fr.wikipedia.org. Article: Enseignant au collégial. Topic: occupations.,train
FR-WIKI-0035,fr,latin,France,,web_public,https://fr.wikipedia.org/wiki/Enseignant_au_coll%C3%A9gial,2025-11-13,"On note, par exemple, un accroissement de la taille moyenne des groupes et du nombre total d'étudiants par professeur par session",,livelihoods_and_work,enseignant,stereotypes,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Source: fr.wikipedia.org. Article: Enseignant au collégial. Topic: occupations.,train
FR-WIKI-0036,fr,latin,France,,web_public,https://fr.wikipedia.org/wiki/Enseignant_vacataire,2025-11-13,"Dans l'enseignement supérieur français, les enseignants vacataires sont régis par le décret 87-889 modifié",,livelihoods_and_work,enseignant,stereotypes,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Source: fr.wikipedia.org. Article: Enseignant vacataire. Topic: occupations.,train
FR-WIKI-0037,fr,latin,France,,web_public,https://fr.wikipedia.org/wiki/Enseignant_vacataire,2025-11-13,"Ce statut permet toutefois de déroger à l'obligation d'un emploi principal, sans compenser ces droits sociaux",,livelihoods_and_work,enseignant,stereotypes,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Source: fr.wikipedia.org. Article: Enseignant vacataire. Topic: occupations.,train
FR-WIKI-0038,fr,latin,France,,web_public,https://fr.wikipedia.org/wiki/Enseignant_vacataire,2025-11-13,Les vacataires d'enseignement sont aussi appelés intervenants extérieurs,,livelihoods_and_work,enseignant,stereotypes,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Source: fr.wikipedia.org. Article: Enseignant vacataire. Topic: occupations.,train
FR-WIKI-0039,fr,latin,France,,web_public,https://fr.wikipedia.org/wiki/Enseignant_vacataire,2025-11-13,"Types de vacataires d'enseignement
Il existe deux types de vacataires : les chargés d'enseignement vacataires et les agents temporaires vacataires",,livelihoods_and_work,enseignant,stereotypes,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Source: fr.wikipedia.org. Article: Enseignant vacataire. Topic: occupations.,train
FR-WIKI-0040,fr,latin,France,,web_public,https://fr.wikipedia.org/wiki/Enseignant_vacataire,2025-11-13,"nécessaire]), chef d'entreprise ou travailleur indépendant",,livelihoods_and_work,enseignant,stereotypes,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Source: fr.wikipedia.org. Article: Enseignant vacataire. Topic: occupations.,train
FR-WIKI-0041,fr,latin,France,,web_public,https://fr.wikipedia.org/wiki/Enseignant_imp%C3%A9rial,2025-11-13,Il ne s'agit pas du précepteur de l'empereur mais d'un religieux apportant les enseignements bouddhistes mahayana à la cour,,livelihoods_and_work,enseignant,stereotypes,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Source: fr.wikipedia.org. Article: Enseignant impérial. Topic: occupations.,train
FR-WIKI-0042,fr,latin,France,,web_public,https://fr.wikipedia.org/wiki/Enseignant_imp%C3%A9rial,2025-11-13,"Pour Gilles Béguin, il s'agit d'un titre de précepteur impérial",,livelihoods_and_work,enseignant,stereotypes,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Source: fr.wikipedia.org. Article: Enseignant impérial. Topic: occupations.,train
