language,biased,neutral_primary,neutral_alternatives,tags,pos,scope,register,severity,bias_label,stereotype_category,explicitness,ngeli,number,requires_agreement,agreement_notes,patterns,constraints,avoid_when,example_biased,example_neutral
sw,askari,afisa wa usalama,askari wa usalama,gender|occupation,noun,law enforcement,formal,replace,stereotype,profession,explicit,1/2,sg,false,,,,,Askari alimkamata mshtakiwa,Afisa wa usalama alimkamata mshtakiwa
sw,mfanyabiashara,mfanyabiashara,biashara,gender|occupation,noun,business,formal,replace,stereotype,profession,explicit,1/2,sg,false,,,,,Mfanyabiashara alifunga mikataba,Mfanyabiashara alifunga mikataba
sw,mzimamoto,mzimamoto,afisa wa zima moto,gender|occupation,noun,emergency,formal,replace,stereotype,profession,explicit,1/2,sg,false,,,,,Mzimamoto aliokoa paka,Mzimamoto aliokoa paka
sw,mpeleka barua,mpeleka barua,mtumishi wa posta,gender|occupation,noun,postal,formal,replace,stereotype,profession,explicit,1/2,sg,false,,,,,Mpeleka barua alipeleka kifurushi,Mpeleka barua alipeleka kifurushi
sw,muuzaji,muuzaji,mfanyabiashara,gender|occupation,noun,business,formal,replace,stereotype,profession,explicit,1/2,sg,false,,,,,Yeye ni muuzaji bora,Ni muuzaji bora
sw,msafishaji,msafishaji,mfanyakazi wa usafi,gender|occupation,noun,service,formal,replace,stereotype,profession,explicit,1/2,sg,false,,,,,Mama msafishaji anakuja Ijumaa,Msafishaji anakuja Ijumaa
sw,mbunge,mbunge,mwakilishi,gender|occupation,noun,political,formal,replace,stereotype,profession,explicit,1/2,sg,false,,,,,Muulize mbunge kuhusu mswada,Muulize mbunge kuhusu mswada
sw,mtabiri wa hali ya hewa,mtabiri wa hali ya hewa,mtaalamu wa hali ya hewa,gender|occupation,noun,media,formal,replace,stereotype,profession,explicit,1/2,sg,false,,,,,Mtabiri wa hali ya hewa alitabiri mvua,Mtabiri wa hali ya hewa alitabiri mvua
sw,fundi,fundi,mtaalamu wa ujenzi,gender|occupation,noun,technical,formal,replace,stereotype,profession,explicit,1/2,sg,false,,,,,Fundi alirekebishe bomba,Fundi alirekebishe bomba
sw,mlezi wa mlango,mlezi wa mlango,askari wa usalama,gender|occupation,noun,security,formal,replace,stereotype,profession,explicit,1/2,sg,false,,,,,Mlezi wa mlango alikagua vitambulisho,Mlezi wa mlango alikagua vitambulisho
