id,language,script,country,region_dialect,source_type,source_ref,collection_date,text,translation,domain,topic,theme,sensitive_characteristic,target_gender,bias_label,stereotype_category,explicitness,bias_severity,sentiment_toward_referent,device,safety_flag,pii_removed,annotator_id,qa_status,approver_id,cohen_kappa,notes,eval_split
SW-WIKI-0001,sw,latin,Kenya,,web_public,https://sw.wikipedia.org/wiki/Mwalimu_wa_Kanisa,2025-11-20,"Mpaka sasa, katika miaka karibu 2000 ya historia ya Kanisa wanaume 32 na wanawake 4 tu wamepewa heshima hiyo",,livelihoods_and_work,mwalimu,stereotypes,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Source: sw.wikipedia.org. Article: Mwalimu wa Kanisa. Topic: occupations.,train
SW-WIKI-0002,sw,latin,Kenya,,web_public,https://sw.wikipedia.org/wiki/Damaris,2025-11-20,Damaris (kwa Kigiriki: Δάμαρις) alikuwa mwanamke wa Athene katika karne ya 1,,livelihoods_and_work,daktari,stereotypes,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Source: sw.wikipedia.org. Article: Damaris. Topic: occupations.,train
SW-WIKI-0003,sw,latin,Kenya,,web_public,https://sw.wikipedia.org/wiki/Mhandisi,2025-11-20,"Katika kipindi hicho, yeye huhusishwa katika kazi ya uhandisi chini ya usimamizi wa mhandisi mtaalamu",,livelihoods_and_work,mhandisi,stereotypes,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Source: sw.wikipedia.org. Article: Mhandisi. Topic: occupations.,train
SW-WIKI-0004,sw,latin,Kenya,,web_public,https://sw.wikipedia.org/wiki/Karani_tamba,2025-11-20,"Yeye hupatikana katika maeneo mengi Barani Afrika, mara nyingi katika maeneo tambarare na katika maeneo ya nyika ya Afrika",,livelihoods_and_work,karani,stereotypes,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Source: sw.wikipedia.org. Article: Karani tamba. Topic: occupations.,train
SW-WIKI-0005,sw,latin,Kenya,,web_public,https://sw.wikipedia.org/wiki/Karani_tamba,2025-11-20,"Kwa umbali au anapopaa angani, yeye hufanana korongo bali si ndege wa kuwinda",,livelihoods_and_work,karani,stereotypes,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Source: sw.wikipedia.org. Article: Karani tamba. Topic: occupations.,train
SW-WIKI-0006,sw,latin,Kenya,,web_public,https://sw.wikipedia.org/wiki/Karachi,2025-11-20,Mohammed Ali Jinnah anayekumbukwa kama baba wa taifa la Pakistan alizaliwa pia kuzikwa mjini,,livelihoods_and_work,karani,stereotypes,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Source: sw.wikipedia.org. Article: Karachi. Topic: occupations.,train
SW-WIKI-0001,sw,latin,Kenya,,web_public,https://sw.wikipedia.org/wiki/Wanawake_wa_Afrika,2025-11-20,"Utamaduni, mageuzi, na historia ya wanawake waliozaliwa, walioishi na kutoka bara la Afrika na kutafakari mageuzi na historia ya bara la Afrika",,mixed,wanawake,stereotypes,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Source: sw.wikipedia.org. Article: Wanawake wa Afrika. Topic: stereotypes.,train
SW-WIKI-0002,sw,latin,Kenya,,web_public,https://sw.wikipedia.org/wiki/Wanawake_wa_Afrika,2025-11-20,Tafiti nyingi za muda mfupi kuhusu historia ya wanawake katika mataifa ya Afrika zimefanyika,,mixed,wanawake,stereotypes,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Source: sw.wikipedia.org. Article: Wanawake wa Afrika. Topic: stereotypes.,train
SW-WIKI-0003,sw,latin,Kenya,,web_public,https://sw.wikipedia.org/wiki/Wanawake_wa_Afrika,2025-11-20,"Tafiti nyingi zinahusu majukumu ya kihistoria na hadhi ya wanawake katika nchi na mikoa mahususi, kama vile Misri, Ethiopia, Morocco, Nigeria,Lesotho, na kusini kwa Sahara",,mixed,wanawake,stereotypes,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Source: sw.wikipedia.org. Article: Wanawake wa Afrika. Topic: stereotypes.,train
SW-WIKI-0004,sw,latin,Kenya,,web_public,https://sw.wikipedia.org/wiki/Wanawake_wa_Afrika,2025-11-20,Hadhi ya wanawake barani Afrika ni tofauti katika mataifa na kanda nyingine,,mixed,wanawake,stereotypes,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Source: sw.wikipedia.org. Article: Wanawake wa Afrika. Topic: stereotypes.,train
SW-WIKI-0005,sw,latin,Kenya,,web_public,https://sw.wikipedia.org/wiki/Wanawake_wa_Afrika,2025-11-20,"Kwa mfano, Rwanda ndiyo nchi pekee duniani ambayo wanawake wanashikilia zaidi ya nusu ya viti bungeni—asilimia 51",,mixed,wanawake,stereotypes,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Source: sw.wikipedia.org. Article: Wanawake wa Afrika. Topic: stereotypes.,train
SW-WIKI-0006,sw,latin,Kenya,,web_public,https://sw.wikipedia.org/wiki/Wanawake_katika_uchakataji_pombe,2025-11-20,Wanawake wamekuwa wakifanya kazi ya utengenezaji wa pombe tangu zamani,,mixed,wanawake,stereotypes,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Source: sw.wikipedia.org. Article: Wanawake katika uchakataji pombe. Topic: stereotypes.,train
SW-WIKI-0007,sw,latin,Kenya,,web_public,https://sw.wikipedia.org/wiki/Wanawake_katika_uchakataji_pombe,2025-11-20,"Ingawa jamii za Magharibi zimeona utengenezaji wa pombe kama uwanja unaotawaliwa na wanaume kwa miaka 150 iliyopita, kwa kawaida, ilikuwa inashughulikiwa na wanawake",,mixed,wanawake,stereotypes,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Source: sw.wikipedia.org. Article: Wanawake katika uchakataji pombe. Topic: stereotypes.,train
SW-WIKI-0008,sw,latin,Kenya,,web_public,https://sw.wikipedia.org/wiki/Wanawake_katika_uchakataji_pombe,2025-11-20,"Uchunguzi wa ethnografia na akiolojia umeonyesha kuwa pombe ilikuwa mseto wa kukusanya au mila ya kuoka, ambayo ilikuwa majukumu ya wanawake ulimwenguni kote",,mixed,wanawake,stereotypes,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Source: sw.wikipedia.org. Article: Wanawake katika uchakataji pombe. Topic: stereotypes.,train
SW-WIKI-0009,sw,latin,Kenya,,web_public,https://sw.wikipedia.org/wiki/Wanawake_katika_uchakataji_pombe,2025-11-20,"Kuanzia ushahidi wa mwanzo wa utengenezaji wa pombe mnamo 7000 KWK, hadi biashara ya utengenezaji wa pombe wakati wa viwanda, wanawake walikuwa waendeshaji wa pombe kuu katika mabara yote yanayokaliwa",,mixed,wanawake,stereotypes,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Source: sw.wikipedia.org. Article: Wanawake katika uchakataji pombe. Topic: stereotypes.,train
SW-WIKI-0010,sw,latin,Kenya,,web_public,https://sw.wikipedia.org/wiki/Wanawake_katika_uchakataji_pombe,2025-11-20,"Kuanzia katikati ya karne ya 18, wanawake wengi walizuiliwa kushiriki katika utengenezaji wa pombe na wakapewa majukumu kama wauza baa, waendeshaji baa, wauzaji wa chupa, au makatibu wa bia",,mixed,wanawake,stereotypes,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Source: sw.wikipedia.org. Article: Wanawake katika uchakataji pombe. Topic: stereotypes.,train
SW-WIKI-0011,sw,latin,Kenya,,web_public,https://sw.wikipedia.org/wiki/Wanawake_katika_Uhuru_wa_Afrika,2025-11-20,"Utaifa na harakati za uhuru kote Afrika kwa kiasi kikubwa zimeongozwa na wanaume; hata hivyo, wanawake pia walikuwa na majukumu muhimu",,mixed,wanawake,stereotypes,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Source: sw.wikipedia.org. Article: Wanawake katika Uhuru wa Afrika. Topic: stereotypes.,train
SW-WIKI-0012,sw,latin,Kenya,,web_public,https://sw.wikipedia.org/wiki/Wanawake_katika_Uhuru_wa_Afrika,2025-11-20,Majukumu ya wanawake katika harakati za uhuru za Afrika yalitofautiana kulingana na kila nchi,,mixed,wanawake,stereotypes,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Source: sw.wikipedia.org. Article: Wanawake katika Uhuru wa Afrika. Topic: stereotypes.,train
SW-WIKI-0013,sw,latin,Kenya,,web_public,https://sw.wikipedia.org/wiki/Wanawake_katika_Uhuru_wa_Afrika,2025-11-20,Wanawake wengi waliamini kwamba ukombozi wao ulikuwa na uhusiano wa moja kwa moja na ukombozi wa nchi zao,,mixed,wanawake,stereotypes,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Source: sw.wikipedia.org. Article: Wanawake katika Uhuru wa Afrika. Topic: stereotypes.,train
SW-WIKI-0014,sw,latin,Kenya,,web_public,https://sw.wikipedia.org/wiki/Wanawake_katika_Uhuru_wa_Afrika,2025-11-20,"Wanawake walishiriki katika majukumu mbalimbali ya kupinga ukoloni, kuanzia kuandaa vikundi vya msingi hadi kutoa msaada muhimu wakati wa mapambano ya uhuru",,mixed,wanawake,stereotypes,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Source: sw.wikipedia.org. Article: Wanawake katika Uhuru wa Afrika. Topic: stereotypes.,train
SW-WIKI-0015,sw,latin,Kenya,,web_public,https://sw.wikipedia.org/wiki/Wanawake_katika_Uhuru_wa_Afrika,2025-11-20,"Zaidi ya hayo, baadhi ya wanawake walishiriki kikamilifu katika mapigano ya mstari wa mbele pamoja na wenzao wa kiume",,mixed,wanawake,stereotypes,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Source: sw.wikipedia.org. Article: Wanawake katika Uhuru wa Afrika. Topic: stereotypes.,train
SW-WIKI-0016,sw,latin,Kenya,,web_public,https://sw.wikipedia.org/wiki/Wanawake_wa_Angola,2025-11-20,"Wanawake wa Angola, kama wanawake wengine wa Afrika, wana majukumu mbalimbali katika jamii ya nchi ya Angola",,mixed,wanawake,stereotypes,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Source: sw.wikipedia.org. Article: Wanawake wa Angola. Topic: stereotypes.,train
SW-WIKI-0017,sw,latin,Kenya,,web_public,https://sw.wikipedia.org/wiki/Wanawake_wa_Angola,2025-11-20,"Majukumu yao
Hakukuwa na utafiti kuhusu majukumu ya wanawake wa Angola kufikia miaka ya 1980, lakini kulikuwa na vipengele vya kijumla ambavyo vingeweza kuafikiwa kuwahusu",,mixed,wanawake,stereotypes,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Source: sw.wikipedia.org. Article: Wanawake wa Angola. Topic: stereotypes.,train
